manuscript_id,book,chapter_number,verse_number
20014,B05,5,28
20014,B05,5,29
20014,B05,5,30
20014,B05,5,31
20014,B05,5,32
20014,B05,5,33
20014,B05,5,34
20014,B05,5,35
20014,B05,5,36
20014,B05,5,37
20014,B05,5,38
20014,B05,5,38
20014,B05,5,39
20014,B05,5,40
20014,B05,5,41
20014,B05,5,42
20014,B05,6,1
20014,B05,6,2
20014,B05,6,3
20014,B05,6,4
20014,B05,6,5
20014,B05,6,5
20014,B05,6,6
20014,B05,6,7
20014,B05,6,8
20014,B05,6,9
20014,B05,6,10
20014,B05,6,11
20014,B05,6,12
20014,B05,6,13
20014,B05,6,14
20014,B05,6,15
20014,B05,7,1
20014,B05,7,1
20014,B05,7,2
20014,B05,7,3
20014,B05,7,4
20014,B05,7,5
20014,B05,7,6
20014,B05,7,7
20014,B05,7,8
20014,B05,7,9
20014,B05,7,10
20014,B05,7,10
20014,B05,7,11
20014,B05,7,12
20014,B05,7,13
20014,B05,7,14
20014,B05,7,15
20014,B05,7,16
20014,B05,7,17
20014,B05,7,18
20014,B05,7,19
20014,B05,7,20
20014,B05,7,21
20014,B05,7,22
20014,B05,7,22
20014,B05,7,23
20014,B05,7,24
20014,B05,7,25
20014,B05,7,26
20014,B05,7,27
20014,B05,7,28
20014,B05,7,29
20014,B05,7,30
20014,B05,7,31
20014,B05,7,32
20014,B05,7,33
20014,B05,7,33
20014,B05,7,34
20014,B05,7,35
20014,B05,7,36
20014,B05,7,37
20014,B05,7,38
20014,B05,7,39
20014,B05,7,40
20014,B05,7,41
20014,B05,7,42
20014,B05,7,42
20014,B05,7,43
20014,B05,7,44
20014,B05,7,45
20014,B05,7,46
20014,B05,7,47
20014,B05,7,48
20014,B05,7,49
20014,B05,7,50
20014,B05,7,51
20014,B05,7,52
20014,B05,7,53
20014,B05,7,54
20014,B05,7,55
20014,B05,7,56
20014,B05,7,57
20014,B05,7,58
20014,B05,7,59
20014,B05,7,60
20014,B05,8,1
20014,B05,8,2
20014,B05,8,2
20014,B05,8,3
20014,B05,8,4
20014,B05,8,5
20014,B05,8,6
20014,B05,8,7
20014,B05,8,8
20014,B05,8,9
20014,B05,8,10
20014,B05,8,11
20014,B05,8,12
20014,B05,8,13
20014,B05,8,14
20014,B05,8,15
20014,B05,8,15
20014,B05,8,16
20014,B05,8,17
20014,B05,8,18
20014,B05,8,19
20014,B05,8,20
20014,B05,8,21
20014,B05,8,22
20014,B05,8,23
20014,B05,8,24
20014,B05,8,25
20014,B05,8,26
20014,B05,8,26
20014,B05,8,27
20014,B05,8,28
20014,B05,8,29
20014,B05,8,30
20014,B05,8,31
20014,B05,8,32
20014,B05,8,33
20014,B05,8,34
20014,B05,8,35
20014,B05,8,36
20014,B05,8,36
20014,B05,8,38
20014,B05,8,39
20014,B05,8,40
20014,B05,9,1
20014,B05,9,2
20014,B05,9,3
20014,B05,9,4
20014,B05,9,5
20014,B05,9,6
20014,B05,9,7
20014,B05,9,8
20014,B05,9,8
20014,B05,9,9
20014,B05,9,10
20014,B05,9,11
20014,B05,9,12
20014,B05,9,13
20014,B05,9,14
20014,B05,9,15
20014,B05,9,16
20014,B05,9,17
20014,B05,9,18
20014,B05,9,18
20014,B05,9,19
20014,B05,9,20
20014,B05,9,21
20014,B05,9,22
20014,B05,9,23
20014,B05,9,24
20014,B05,9,25
20014,B05,9,26
20014,B05,9,27
20014,B05,9,28
20014,B05,9,29
20014,B05,9,30
20014,B05,9,31
20014,B05,9,32
20014,B05,9,33
20014,B05,9,34
20014,B05,9,35
20014,B05,9,36
20014,B05,9,37
20014,B05,9,38
20014,B05,9,39
20014,B05,9,39
20014,B05,9,40
20014,B05,9,41
20014,B05,9,42
20014,B05,9,43
20014,B05,10,1
20014,B05,10,2
20014,B05,10,3
20014,B05,10,4
20014,B05,10,5
20014,B05,10,6
20014,B05,10,7
20014,B05,10,8
20014,B05,10,9
20014,B05,10,10
20014,B05,10,11
20014,B05,10,12
20014,B05,10,13
20014,B05,10,14
20014,B05,10,15
20014,B05,10,16
20014,B05,10,17
20014,B05,10,18
20014,B05,10,19
20014,B05,10,19
20014,B05,10,20
20014,B05,10,21
20014,B05,10,22
20014,B05,10,23
20014,B05,10,24
20014,B05,10,25
20014,B05,10,26
20014,B05,10,27
20014,B05,10,28
20014,B05,10,29
20014,B05,10,29
20014,B05,10,30
20014,B05,10,31
20014,B05,10,32
20014,B05,10,33
20014,B05,10,34
20014,B05,10,35
20014,B05,10,36
20014,B05,10,37
20014,B05,10,38
20014,B05,10,39
20014,B05,10,39
20014,B05,10,40
20014,B05,10,41
20014,B05,10,42
20014,B05,10,43
20014,B05,10,44
20014,B05,10,45
20014,B05,10,46
20014,B05,10,47
20014,B05,10,48
20014,B05,11,1
20014,B05,11,2
20014,B05,11,2
20014,B05,11,3
20014,B05,11,4
20014,B05,11,5
20014,B05,11,6
20014,B05,11,7
20014,B05,11,8
20014,B05,11,9
20014,B05,11,10
20014,B05,11,11
20014,B05,11,12
20014,B05,11,13
20014,B05,11,14
20014,B05,11,15
20014,B05,11,16
20014,B05,11,17
20014,B05,11,18
20014,B05,11,19
20014,B05,11,20
20014,B05,11,21
20014,B05,11,22
20014,B05,11,23
20014,B05,11,24
20014,B05,11,24
20014,B05,11,25
20014,B05,11,26
20014,B05,11,27
20014,B05,11,28
20014,B05,11,29
20014,B05,11,30
20014,B05,12,1
20014,B05,12,2
20014,B05,12,3
20014,B05,12,4
20014,B05,12,4
20014,B05,12,5
20014,B05,12,6
20014,B05,12,7
20014,B05,12,8
20014,B05,12,9
20014,B05,12,10
20014,B05,12,11
20014,B05,12,12
20014,B05,12,13
20014,B05,12,14
20014,B05,12,15
20014,B05,12,16
20014,B05,12,17
20014,B05,12,18
20014,B05,12,19
20014,B05,12,20
20014,B05,12,20
20014,B05,12,21
20014,B05,12,22
20014,B05,12,23
20014,B05,12,24
20014,B05,12,25
20014,B05,13,1
20014,B05,13,2
20014,B05,13,3
20014,B05,13,4
20014,B05,13,5
20014,B05,13,5
20014,B05,13,6
20014,B05,13,7
20014,B05,13,8
20014,B05,13,9
20014,B05,13,10
20014,B05,13,11
20014,B05,13,12
20014,B05,13,13
20014,B05,13,14
20014,B05,13,15
20014,B05,13,15
20014,B05,13,16
20014,B05,13,17
20014,B05,13,18
20014,B05,13,19
20014,B05,13,20
20014,B05,13,21
20014,B05,13,22
20014,B05,13,23
20014,B05,13,24
20014,B05,13,25
20014,B05,13,25
20014,B05,13,26
20014,B05,13,27
20014,B05,13,28
20014,B05,13,29
20014,B05,13,30
20014,B05,13,31
20014,B05,13,32
20014,B05,13,33
20014,B05,13,34
20014,B05,13,35
20014,B05,13,36
20014,B05,13,36
20014,B05,13,38
20014,B05,13,39
20014,B05,13,40
20014,B05,13,41
20014,B05,13,42
20014,B05,13,43
20014,B05,13,44
20014,B05,13,45
20014,B05,13,46
20014,B05,14,1
20014,B05,14,2
20014,B05,14,3
20014,B05,14,3
20014,B05,14,4
20014,B05,14,5
20014,B05,14,6
20014,B05,14,7
20014,B05,14,8
20014,B05,14,9
20014,B05,14,10
20014,B05,14,11
20014,B05,14,12
20014,B05,14,13
20014,B05,14,14
20014,B05,14,15
20014,B05,14,15
20014,B05,14,16
20014,B05,14,17
20014,B05,14,18
20014,B05,14,19
20014,B05,14,20
20014,B05,14,21
20014,B05,14,22
20014,B05,14,23
20014,B05,14,23
20014,B05,14,24
20014,B05,14,25
20014,B05,14,26
