manuscript_id,book,chapter_number,verse_number
10127,B05,10,32
10127,B05,10,33
10127,B05,10,34
10127,B05,10,35
10127,B05,10,40
10127,B05,10,41
10127,B05,10,42
10127,B05,10,42
10127,B05,10,43
10127,B05,10,44
10127,B05,10,45
10127,B05,11,2
10127,B05,11,3
10127,B05,11,4
10127,B05,11,5
10127,B05,11,30
10127,B05,12,1
10127,B05,12,2
10127,B05,12,3
10127,B05,12,5
10127,B05,12,7
10127,B05,12,8
10127,B05,12,9
10127,B05,15,29
10127,B05,15,30
10127,B05,15,34
10127,B05,15,35
10127,B05,15,36
10127,B05,15,37
10127,B05,15,38
10127,B05,15,39
10127,B05,15,40
10127,B05,15,41
10127,B05,16,1
10127,B05,16,2
10127,B05,16,3
10127,B05,16,4
10127,B05,16,13
10127,B05,16,14
10127,B05,16,15
10127,B05,16,15
10127,B05,16,16
10127,B05,16,17
10127,B05,16,18
10127,B05,16,19
10127,B05,16,20
10127,B05,16,20
10127,B05,16,21
10127,B05,16,22
10127,B05,16,23
10127,B05,16,24
10127,B05,16,25
10127,B05,16,26
10127,B05,16,27
10127,B05,16,27
10127,B05,16,28
10127,B05,16,29
10127,B05,16,30
10127,B05,16,31
10127,B05,16,32
10127,B05,16,33
10127,B05,16,34
10127,B05,16,35
10127,B05,16,35
10127,B05,16,36
10127,B05,16,37
10127,B05,16,38
10127,B05,16,39
10127,B05,16,39
10127,B05,16,40
10127,B05,17,1
10127,B05,17,2
10127,B05,17,3
10127,B05,17,4
10127,B05,17,4
10127,B05,17,5
10127,B05,17,6
10127,B05,17,7
10127,B05,17,8
10127,B05,17,9
10127,B05,17,10
