manuscript_id,book,chapter_number,verse_number
32680,B01,1,1
32680,B01,1,2
32680,B01,1,2
32680,B01,1,3
32680,B01,1,4
32680,B01,1,5
32680,B01,1,6
32680,B01,1,7
32680,B01,1,8
32680,B01,1,8
32680,B01,1,9
32680,B01,1,10
32680,B01,1,11
32680,B01,1,12
32680,B01,1,13
32680,B01,1,14
32680,B01,1,14
32680,B01,1,15
32680,B01,1,16
32680,B01,1,17
32680,B01,1,18
32680,B01,1,19
32680,B01,1,19
32680,B01,1,20
32680,B01,1,21
32680,B01,1,22
32680,B01,1,23
32680,B01,1,24
32680,B01,1,24
32680,B01,1,25
32680,B01,2,1
32680,B01,2,2
32680,B01,2,3
32680,B01,2,4
32680,B01,2,4
32680,B01,2,5
32680,B01,2,6
32680,B01,2,7
32680,B01,2,8
32680,B01,2,9
32680,B01,2,9
32680,B01,2,10
32680,B01,2,11
32680,B01,2,12
32680,B01,2,13
32680,B01,2,13
32680,B01,2,14
32680,B01,2,15
32680,B01,2,16
32680,B01,2,17
32680,B01,2,18
32680,B01,2,18
32680,B01,2,19
32680,B01,2,20
32680,B01,2,21
32680,B01,2,22
32680,B01,2,22
32680,B01,2,23
32680,B01,3,1
32680,B01,3,2
32680,B01,3,3
32680,B01,3,4
32680,B01,3,4
32680,B01,3,5
32680,B01,3,6
32680,B01,3,7
32680,B01,3,8
32680,B01,3,9
32680,B01,3,10
32680,B01,3,10
32680,B01,3,11
32680,B01,3,12
32680,B01,3,13
32680,B01,3,14
32680,B01,3,14
32680,B01,3,15
32680,B01,3,16
32680,B01,3,17
32680,B01,4,1
32680,B01,4,2
32680,B01,4,2
32680,B01,4,3
32680,B01,4,4
32680,B01,4,5
32680,B01,4,6
32680,B01,4,7
32680,B01,4,8
32680,B01,4,8
32680,B01,4,9
32680,B01,4,10
32680,B01,4,11
32680,B01,4,12
32680,B01,4,13
32680,B01,4,14
32680,B01,4,15
32680,B01,4,15
32680,B01,4,16
32680,B01,4,17
32680,B01,4,18
32680,B01,4,19
32680,B01,4,20
32680,B01,4,21
32680,B01,4,21
32680,B01,4,22
32680,B01,4,23
32680,B01,4,24
32680,B01,4,25
32680,B01,5,1
32680,B01,5,2
32680,B01,5,3
32680,B01,5,4
32680,B01,5,5
32680,B01,5,6
32680,B01,5,7
32680,B01,5,8
32680,B01,5,9
32680,B01,5,9
32680,B01,5,10
32680,B01,5,11
32680,B01,5,12
32680,B01,5,13
32680,B01,5,14
32680,B01,5,15
32680,B01,5,15
32680,B01,5,16
32680,B01,5,17
32680,B01,5,18
32680,B01,5,19
32680,B01,5,19
32680,B01,5,20
32680,B01,5,21
32680,B01,5,22
32680,B01,5,23
32680,B01,5,24
32680,B01,5,24
32680,B01,5,25
32680,B01,5,26
32680,B01,5,27
32680,B01,5,28
32680,B01,5,29
32680,B01,5,30
32680,B01,5,30
32680,B01,5,31
32680,B01,5,32
32680,B01,5,33
32680,B01,5,34
32680,B01,5,35
32680,B01,5,36
32680,B01,5,36
32680,B01,5,37
32680,B01,5,38
32680,B01,5,39
32680,B01,5,40
32680,B01,5,41
32680,B01,5,42
32680,B01,5,43
32680,B01,5,44
32680,B01,5,44
32680,B01,5,45
32680,B01,5,46
32680,B01,5,47
32680,B01,5,48
32680,B01,6,1
32680,B01,6,2
32680,B01,6,2
32680,B01,6,3
32680,B01,6,4
32680,B01,6,5
32680,B01,6,6
32680,B01,6,6
32680,B01,6,7
32680,B01,6,8
32680,B01,6,9
32680,B01,6,10
32680,B01,6,11
32680,B01,6,12
32680,B01,6,13
32680,B01,6,13
32680,B01,6,14
32680,B01,6,15
32680,B01,6,16
32680,B01,6,17
32680,B01,6,18
32680,B01,6,19
32680,B01,6,20
32680,B01,6,21
32680,B01,6,22
32680,B01,6,23
