manuscript_id,book,chapter_number,verse_number
20017,B01,1,1
20017,B01,1,2
20017,B01,1,3
20017,B01,1,4
20017,B01,1,5
20017,B01,1,6
20017,B01,1,6
20017,B01,1,7
20017,B01,1,8
20017,B01,1,9
20017,B01,1,10
20017,B01,1,11
20017,B01,1,12
20017,B01,1,13
20017,B01,1,14
20017,B01,1,15
20017,B01,1,15
20017,B01,1,16
20017,B01,1,17
20017,B01,1,18
20017,B01,1,19
20017,B01,1,20
20017,B01,1,21
20017,B01,1,21
20017,B01,1,22
20017,B01,1,23
20017,B01,1,24
20017,B01,1,25
20017,B01,2,1
20017,B01,2,2
20017,B01,2,3
20017,B01,2,3
20017,B01,2,4
20017,B01,2,5
20017,B01,2,6
20017,B01,2,7
20017,B01,2,8
20017,B01,2,9
20017,B01,2,10
20017,B01,2,11
20017,B01,2,11
20017,B01,2,12
20017,B01,2,13
20017,B01,2,14
20017,B01,2,15
20017,B01,2,16
20017,B01,2,16
20017,B01,2,17
20017,B01,2,18
20017,B01,2,19
20017,B01,2,20
20017,B01,2,21
20017,B01,2,22
20017,B01,2,23
20017,B01,2,23
20017,B01,3,1
20017,B01,3,2
20017,B01,3,3
20017,B01,3,4
20017,B01,3,5
20017,B01,3,6
20017,B01,3,7
20017,B01,3,7
20017,B01,3,8
20017,B01,3,9
20017,B01,3,10
20017,B01,3,11
20017,B01,3,12
20017,B01,3,13
20017,B01,3,13
20017,B01,3,14
20017,B01,3,15
20017,B01,3,16
20017,B01,3,17
20017,B01,4,1
20017,B01,4,2
20017,B01,4,3
20017,B01,4,4
20017,B01,4,4
20017,B01,4,5
20017,B01,4,6
20017,B01,4,7
20017,B01,4,8
20017,B01,4,9
20017,B01,4,10
20017,B01,4,11
20017,B01,4,12
20017,B01,4,13
20017,B01,4,13
20017,B01,4,14
20017,B01,4,15
20017,B01,4,16
20017,B01,4,17
20017,B01,4,18
20017,B01,4,19
20017,B01,4,20
20017,B01,4,21
20017,B01,4,21
20017,B01,4,22
20017,B01,4,23
20017,B01,4,24
20017,B01,4,25
20017,B01,5,1
20017,B01,5,2
20017,B01,5,3
20017,B01,5,3
20017,B01,5,4
20017,B01,5,5
20017,B01,5,6
20017,B01,5,7
20017,B01,5,8
20017,B01,5,9
20017,B01,5,10
20017,B01,5,11
20017,B01,5,12
20017,B01,5,13
20017,B01,5,14
20017,B01,5,14
20017,B01,5,15
20017,B01,5,16
20017,B01,5,17
20017,B01,5,18
20017,B01,5,19
20017,B01,5,20
20017,B01,5,20
20017,B01,5,21
20017,B01,5,22
20017,B01,5,23
20017,B01,5,24
20017,B01,5,25
20017,B01,5,26
20017,B01,5,27
20017,B01,5,27
20017,B01,5,28
20017,B01,5,29
20017,B01,5,30
20017,B01,5,31
20017,B01,5,32
20017,B01,5,33
20017,B01,5,34
20017,B01,5,35
20017,B01,5,35
20017,B01,5,36
20017,B01,5,37
20017,B01,5,38
