manuscript_id,book,chapter_number,verse_number
41188,B05,1,12
41188,B05,1,13
41188,B05,1,14
41188,B05,1,15
41188,B05,1,16
41188,B05,1,17
41188,B05,1,18
41188,B05,1,19
41188,B05,1,19
41188,B05,1,20
41188,B05,1,21
41188,B05,1,22
41188,B05,1,23
41188,B05,1,24
41188,B05,1,25
41188,B05,1,26
41188,B05,2,1
41188,B05,2,1
41188,B05,2,2
41188,B05,2,3
41188,B05,2,4
41188,B05,2,5
41188,B05,2,6
41188,B05,2,7
41188,B05,2,8
41188,B05,2,9
41188,B05,2,10
41188,B05,2,11
41188,B05,2,11
41188,B05,2,12
41188,B05,2,13
41188,B05,2,14
41188,B05,2,15
41188,B05,2,16
41188,B05,2,17
41188,B05,2,18
41188,B05,2,19
41188,B05,2,19
41188,B05,2,20
41188,B05,2,21
41188,B05,2,22
41188,B05,2,23
41188,B05,2,24
41188,B05,2,25
41188,B05,2,26
41188,B05,2,26
41188,B05,2,27
41188,B05,2,28
41188,B05,2,29
41188,B05,2,30
41188,B05,2,31
41188,B05,2,32
41188,B05,2,33
41188,B05,2,34
41188,B05,2,35
41188,B05,2,35
41188,B05,2,36
41188,B05,2,37
41188,B05,2,38
41188,B05,2,39
41188,B05,2,40
41188,B05,2,41
41188,B05,2,42
41188,B05,2,42
41188,B05,2,43
41188,B05,2,44
41188,B05,2,45
41188,B05,2,46
41188,B05,2,47
41188,B05,3,1
41188,B05,3,2
41188,B05,3,3
41188,B05,3,19
41188,B05,3,20
41188,B05,3,20
41188,B05,3,21
41188,B05,3,22
41188,B05,3,23
41188,B05,3,24
41188,B05,3,25
41188,B05,3,26
41188,B05,4,1
41188,B05,4,2
41188,B05,4,2
41188,B05,4,3
41188,B05,4,4
41188,B05,4,5
41188,B05,4,6
41188,B05,4,7
41188,B05,4,8
41188,B05,4,9
41188,B05,4,10
41188,B05,4,11
41188,B05,4,12
41188,B05,4,12
41188,B05,4,13
41188,B05,4,14
41188,B05,4,15
41188,B05,4,16
41188,B05,4,17
41188,B05,4,18
41188,B05,4,19
