manuscript_id,book,chapter_number,verse_number
31141,B02,1,1
31141,B02,1,2
31141,B02,1,3
31141,B02,1,4
31141,B02,1,5
31141,B02,1,6
31141,B02,1,7
31141,B02,1,8
31141,B02,1,8
31141,B02,1,9
31141,B02,1,10
31141,B02,1,11
31141,B02,1,12
31141,B02,1,13
31141,B02,1,14
31141,B02,1,15
31141,B02,1,16
31141,B02,1,17
31141,B02,1,17
31141,B02,1,18
31141,B02,1,19
31141,B02,1,20
31141,B02,1,21
31141,B02,1,22
31141,B02,1,23
31141,B02,1,24
31141,B02,1,25
31141,B02,1,26
31141,B02,1,27
31141,B02,1,27
31141,B02,1,28
31141,B02,1,29
31141,B02,1,30
31141,B02,1,31
31141,B02,1,32
31141,B02,1,33
31141,B02,1,34
31141,B02,1,35
31141,B02,1,36
31141,B02,1,37
31141,B02,1,37
31141,B02,1,38
31141,B02,1,39
31141,B02,1,40
31141,B02,1,41
31141,B02,1,42
31141,B02,1,43
31141,B02,1,44
31141,B02,1,45
31141,B02,2,1
31141,B02,2,2
