manuscript_id,book,chapter_number,verse_number
31067,B05,27,14
31067,B05,27,15
31067,B05,27,16
31067,B05,27,17
31067,B05,27,18
31067,B05,27,19
31067,B05,27,20
31067,B05,27,21
31067,B05,27,22
31067,B05,27,23
31067,B05,27,24
31067,B05,27,25
31067,B05,27,26
31067,B05,27,27
31067,B05,27,28
31067,B05,27,28
31067,B05,27,29
31067,B05,27,30
31067,B05,27,31
31067,B05,27,32
31067,B05,27,33
31067,B05,27,34
31067,B05,27,35
31067,B05,27,36
31067,B05,27,37
31067,B05,27,38
31067,B05,27,39
31067,B05,27,40
31067,B05,27,40
31067,B05,27,41
31067,B05,27,42
31067,B05,27,43
31067,B05,27,44
31067,B05,28,1
31067,B05,28,2
31067,B05,28,3
31067,B05,28,4
31067,B05,28,5
31067,B05,28,6
31067,B05,28,6
31067,B05,28,7
31067,B05,28,8
31067,B05,28,9
31067,B05,28,10
31067,B05,28,11
31067,B05,28,12
31067,B05,28,13
31067,B05,28,14
31067,B05,28,15
31067,B05,28,16
31067,B05,28,16
31067,B05,28,17
31067,B05,28,18
31067,B05,28,19
31067,B05,28,20
31067,B05,28,21
31067,B05,28,22
31067,B05,28,23
31067,B05,28,24
31067,B05,28,25
31067,B05,28,25
31067,B05,28,26
31067,B05,28,27
31067,B05,28,28
31067,B05,28,29
31067,B05,28,30
31067,B05,28,31
