manuscript_id,book,chapter_number,verse_number
32351,B27,1,1
32351,B27,1,2
32351,B27,1,3
32351,B27,1,4
32351,B27,1,4
32351,B27,1,5
32351,B27,1,6
32351,B27,1,7
32351,B27,1,7
32351,B27,1,8
32351,B27,1,9
32351,B27,1,9
32351,B27,1,10
32351,B27,1,11
32351,B27,1,12
32351,B27,1,13
32351,B27,1,14
32351,B27,1,15
32351,B27,1,16
32351,B27,1,16
32351,B27,1,17
32351,B27,1,17
32351,B27,1,18
32351,B27,1,18
32351,B27,1,19
32351,B27,1,20
32351,B27,2,1
32351,B27,2,2
32351,B27,2,3
32351,B27,2,4
32351,B27,2,5
32351,B27,2,5
32351,B27,2,6
32351,B27,2,7
32351,B27,2,7
32351,B27,2,8
32351,B27,2,9
32351,B27,2,10
32351,B27,2,11
32351,B27,2,12
32351,B27,2,12
32351,B27,2,13
32351,B27,2,14
32351,B27,2,15
32351,B27,2,16
32351,B27,2,17
32351,B27,2,17
32351,B27,2,18
32351,B27,2,18
32351,B27,2,19
32351,B27,2,19
32351,B27,2,20
32351,B27,2,20
32351,B27,2,21
32351,B27,2,22
32351,B27,2,22
32351,B27,2,23
32351,B27,2,24
32351,B27,2,25
32351,B27,2,26
32351,B27,2,27
32351,B27,2,28
32351,B27,2,28
32351,B27,2,29
32351,B27,3,1
32351,B27,3,2
32351,B27,3,3
32351,B27,3,3
32351,B27,3,4
32351,B27,3,5
32351,B27,3,6
32351,B27,3,7
32351,B27,3,7
32351,B27,3,8
32351,B27,3,9
32351,B27,3,10
32351,B27,3,11
32351,B27,3,11
32351,B27,3,12
32351,B27,3,12
32351,B27,3,13
32351,B27,3,14
32351,B27,3,14
32351,B27,3,14
32351,B27,3,15
32351,B27,3,16
32351,B27,3,17
32351,B27,3,18
32351,B27,3,19
32351,B27,3,20
32351,B27,3,20
32351,B27,3,21
32351,B27,3,22
32351,B27,4,1
32351,B27,4,2
32351,B27,4,3
32351,B27,4,3
32351,B27,4,4
32351,B27,4,5
32351,B27,4,6
32351,B27,4,7
32351,B27,4,8
32351,B27,4,8
32351,B27,4,9
32351,B27,4,10
32351,B27,4,11
32351,B27,5,1
32351,B27,5,2
32351,B27,5,3
32351,B27,5,4
32351,B27,5,5
32351,B27,5,5
32351,B27,5,6
32351,B27,5,6
32351,B27,5,7
32351,B27,5,8
32351,B27,5,8
32351,B27,5,9
32351,B27,5,10
32351,B27,5,11
32351,B27,5,11
32351,B27,5,12
32351,B27,5,13
32351,B27,5,14
32351,B27,6,1
32351,B27,6,2
32351,B27,6,2
32351,B27,6,3
32351,B27,6,4
32351,B27,6,5
32351,B27,6,6
32351,B27,6,7
32351,B27,6,8
32351,B27,6,8
32351,B27,6,9
32351,B27,6,10
32351,B27,6,11
32351,B27,6,12
32351,B27,6,12
32351,B27,6,13
32351,B27,6,14
32351,B27,6,15
32351,B27,6,16
32351,B27,6,17
32351,B27,7,1
32351,B27,7,1
32351,B27,7,2
32351,B27,7,3
32351,B27,7,4
32351,B27,7,5
32351,B27,7,6
32351,B27,7,7
32351,B27,7,8
32351,B27,7,9
32351,B27,7,9
32351,B27,7,10
32351,B27,7,11
32351,B27,7,12
32351,B27,7,13
32351,B27,7,13
32351,B27,7,14
32351,B27,7,15
32351,B27,7,16
32351,B27,7,16
32351,B27,7,17
32351,B27,8,1
32351,B27,8,2
32351,B27,8,3
32351,B27,8,4
32351,B27,8,4
32351,B27,8,5
32351,B27,8,6
32351,B27,8,7
32351,B27,8,8
32351,B27,8,9
32351,B27,8,10
32351,B27,8,10
32351,B27,8,11
32351,B27,8,12
32351,B27,8,13
32351,B27,8,13
32351,B27,9,1
32351,B27,9,2
32351,B27,9,3
32351,B27,9,4
32351,B27,9,5
32351,B27,9,5
32351,B27,9,6
32351,B27,9,7
32351,B27,9,8
32351,B27,9,9
32351,B27,9,10
32351,B27,9,10
32351,B27,9,11
32351,B27,9,12
32351,B27,9,13
32351,B27,9,14
32351,B27,9,15
32351,B27,9,16
32351,B27,9,16
32351,B27,9,17
32351,B27,9,18
32351,B27,9,19
32351,B27,9,20
32351,B27,9,21
32351,B27,10,1
32351,B27,10,2
32351,B27,10,2
32351,B27,10,3
32351,B27,10,3
32351,B27,10,4
32351,B27,10,5
32351,B27,10,6
32351,B27,10,7
32351,B27,10,7
32351,B27,10,8
32351,B27,10,9
32351,B27,10,10
32351,B27,10,11
32351,B27,11,1
32351,B27,11,1
32351,B27,11,2
32351,B27,11,3
32351,B27,11,4
32351,B27,11,5
32351,B27,11,6
32351,B27,11,6
32351,B27,11,7
32351,B27,11,8
32351,B27,11,9
32351,B27,11,10
32351,B27,11,10
32351,B27,11,11
32351,B27,11,12
32351,B27,11,13
32351,B27,11,14
32351,B27,11,15
32351,B27,11,15
32351,B27,11,16
32351,B27,11,17
32351,B27,11,18
32351,B27,11,18
32351,B27,11,19
32351,B27,12,1
32351,B27,12,2
32351,B27,12,2
32351,B27,12,3
32351,B27,12,4
32351,B27,12,5
32351,B27,12,5
32351,B27,12,6
32351,B27,12,7
32351,B27,12,8
32351,B27,12,9
32351,B27,12,10
32351,B27,12,11
32351,B27,12,12
32351,B27,12,13
32351,B27,12,14
32351,B27,12,15
32351,B27,12,16
32351,B27,12,17
32351,B27,12,18
32351,B27,13,1
32351,B27,13,2
32351,B27,13,3
32351,B27,13,3
32351,B27,13,4
32351,B27,13,5
32351,B27,13,6
32351,B27,13,7
32351,B27,13,8
32351,B27,13,8
32351,B27,13,9
32351,B27,13,10
32351,B27,13,11
