manuscript_id,book,chapter_number,verse_number
20281,B01,6,24
20281,B01,6,25
20281,B01,6,26
20281,B01,6,27
20281,B01,6,27
20281,B01,6,28
20281,B01,6,29
20281,B01,6,30
20281,B01,7,4
20281,B01,7,5
20281,B01,7,6
20281,B01,7,7
20281,B01,7,7
20281,B01,7,8
20281,B01,7,9
20281,B01,7,10
20281,B01,7,11
20281,B01,7,12
20281,B01,7,13
20281,B01,7,14
20281,B01,7,14
20281,B01,7,15
20281,B01,7,16
20281,B01,7,17
20281,B01,7,18
20281,B01,7,19
20281,B01,7,20
20281,B01,7,21
20281,B01,7,22
20281,B01,7,22
20281,B01,7,23
20281,B01,7,24
20281,B01,8,9
20281,B01,8,10
20281,B01,8,11
20281,B01,8,11
20281,B01,8,12
20281,B01,8,13
20281,B01,8,14
20281,B01,9,1
20281,B01,9,2
20281,B01,9,3
20281,B01,9,4
20281,B01,9,5
20281,B01,9,5
20281,B01,9,6
20281,B01,9,7
20281,B01,9,8
20281,B01,9,9
20281,B01,9,11
20281,B01,9,12
20281,B01,9,12
20281,B01,9,13
20281,B01,9,14
20281,B01,9,15
20281,B01,10,7
20281,B01,10,8
20281,B01,10,9
20281,B01,10,10
20281,B01,10,11
20281,B01,10,12
20281,B01,10,13
20281,B01,10,14
20281,B01,11,3
20281,B01,11,4
20281,B01,11,5
20281,B01,11,6
20281,B01,11,7
20281,B01,11,8
20281,B01,11,8
20281,B01,11,9
20281,B01,11,10
20281,B01,11,11
20281,B01,11,27
20281,B01,11,28
20281,B01,11,29
20281,B01,11,30
20281,B01,11,30
20281,B01,12,1
20281,B01,12,2
20281,B01,12,3
20281,B01,12,4
20281,B01,12,13
20281,B01,12,14
20281,B01,12,15
20281,B01,12,16
20281,B01,12,17
20281,B01,12,18
20281,B01,12,18
20281,B01,12,19
20281,B01,12,20
20281,B01,12,21
20281,B01,12,22
20281,B01,12,22
20281,B01,12,23
20281,B01,12,24
20281,B01,12,25
20281,B01,12,25
20281,B01,12,26
20281,B01,12,27
20281,B01,12,28
20281,B01,12,29
20281,B01,13,19
20281,B01,13,20
20281,B01,13,21
20281,B01,13,22
20281,B01,13,23
20281,B01,13,25
20281,B01,13,25
20281,B01,13,26
20281,B01,13,27
20281,B01,13,28
20281,B01,13,29
20281,B01,13,29
20281,B01,13,30
20281,B01,13,31
20281,B01,13,52
20281,B01,13,53
20281,B01,13,54
20281,B01,13,55
20281,B01,13,56
20281,B01,13,57
20281,B01,13,58
20281,B01,15,12
20281,B01,15,13
20281,B01,15,15
20281,B01,15,16
20281,B01,15,17
20281,B01,15,17
20281,B01,15,18
20281,B01,15,19
20281,B01,15,20
20281,B01,15,22
20281,B01,15,23
20281,B01,15,24
20281,B01,15,26
20281,B01,15,27
20281,B01,15,28
20281,B01,15,28
20281,B01,15,29
20281,B01,15,30
20281,B01,15,31
20281,B01,15,32
20281,B01,16,12
20281,B01,16,13
20281,B01,16,14
20281,B01,16,15
20281,B01,16,16
20281,B01,16,16
20281,B01,16,17
20281,B01,16,18
20281,B01,16,19
20281,B01,16,25
20281,B01,16,26
20281,B01,16,27
20281,B01,16,28
20281,B01,16,28
20281,B01,17,2
20281,B01,17,4
20281,B01,17,5
20281,B01,17,9
20281,B01,17,17
20281,B01,17,18
20281,B01,17,19
20281,B01,17,20
20281,B01,17,20
20281,B01,17,22
20281,B01,17,23
20281,B01,17,24
20281,B01,17,24
20281,B01,17,25
20281,B01,17,26
20281,B01,17,27
20281,B01,18,1
20281,B01,18,2
20281,B01,18,3
20281,B01,18,4
20281,B01,18,5
20281,B01,18,6
20281,B01,18,6
20281,B01,18,7
20281,B01,18,8
20281,B01,18,14
20281,B01,18,15
20281,B01,18,16
20281,B01,18,17
20281,B01,18,17
20281,B01,18,18
20281,B01,18,19
20281,B01,18,20
20281,B01,18,20
20281,B01,18,21
20281,B01,18,22
20281,B01,18,23
20281,B01,18,24
20281,B01,18,24
20281,B01,18,25
20281,B01,18,26
20281,B01,18,27
20281,B01,19,21
20281,B01,19,22
20281,B01,19,23
20281,B01,19,24
20281,B01,19,24
20281,B01,19,25
20281,B01,19,28
20281,B01,19,30
20281,B01,20,1
20281,B01,20,2
20281,B01,20,3
20281,B01,20,4
20281,B01,20,25
20281,B01,20,26
20281,B01,20,27
20281,B01,20,28
20281,B01,20,29
20281,B01,20,29
20281,B01,20,30
20281,B01,20,31
20281,B01,20,32
20281,B01,20,33
20281,B01,21,8
20281,B01,21,9
20281,B01,21,10
20281,B01,21,12
20281,B01,21,13
20281,B01,21,27
20281,B01,21,28
20281,B01,21,29
20281,B01,21,30
20281,B01,21,31
20281,B01,21,32
20281,B01,22,13
20281,B01,22,14
20281,B01,22,15
20281,B01,22,16
20281,B01,22,16
20281,B01,22,17
20281,B01,22,18
20281,B01,22,19
20281,B01,22,20
20281,B01,22,21
20281,B01,22,40
20281,B01,22,41
20281,B01,22,42
20281,B01,22,43
20281,B01,22,44
20281,B01,22,45
20281,B01,22,45
20281,B01,22,46
20281,B01,23,1
20281,B01,23,2
20281,B01,23,3
20281,B01,23,4
20281,B01,23,17
20281,B01,23,18
20281,B01,23,22
20281,B01,23,23
20281,B01,23,24
20281,B01,23,25
20281,B01,23,26
20281,B01,23,27
20281,B01,23,27
20281,B01,23,28
20281,B01,23,29
20281,B01,23,30
20281,B01,24,21
20281,B01,24,22
20281,B01,24,23
20281,B01,24,24
20281,B01,24,25
20281,B01,24,26
20281,B01,24,26
20281,B01,24,27
20281,B01,24,28
20281,B01,24,29
20281,B01,24,29
20281,B01,24,30
20281,B01,24,31
20281,B01,24,31
20281,B01,24,32
20281,B01,24,33
20281,B01,24,34
20281,B01,24,35
20281,B01,24,36
20281,B01,24,37
20281,B01,24,38
20281,B01,24,40
20281,B01,24,41
20281,B01,24,42
20281,B01,24,43
20281,B01,24,43
20281,B01,24,44
20281,B01,24,45
20281,B01,24,46
20281,B01,24,47
20281,B01,24,47
20281,B01,24,48
20281,B01,24,49
20281,B01,24,50
20281,B01,24,51
20281,B01,25,39
20281,B01,25,40
20281,B01,25,41
20281,B01,25,43
20281,B01,25,44
20281,B01,26,15
20281,B01,26,16
20281,B01,26,17
20281,B01,26,18
20281,B01,26,19
20281,B01,26,19
20281,B01,26,20
20281,B01,26,21
20281,B01,26,22
20281,B01,26,23
20281,B01,26,24
20281,B01,26,24
20281,B01,26,25
20281,B01,26,26
20281,B01,26,27
20281,B01,26,28
20281,B01,26,29
20281,B01,26,30
20281,B01,26,31
20281,B01,26,32
20281,B01,26,33
20281,B01,26,34
20281,B01,26,35
20281,B01,26,36
20281,B01,26,37
20281,B01,26,51
20281,B01,26,52
20281,B01,26,53
20281,B01,26,55
20281,B01,26,56
20281,B01,26,64
20281,B01,26,65
20281,B01,26,66
20281,B01,26,67
20281,B01,26,67
20281,B01,26,68
20281,B01,26,69
20281,B01,26,70
20281,B01,26,71
20281,B01,26,73
20281,B01,26,74
20281,B01,26,75
20281,B01,27,1
20281,B01,27,2
20281,B01,27,3
20281,B01,27,4
20281,B01,27,22
20281,B01,27,23
20281,B01,27,24
20281,B01,27,25
20281,B01,27,26
20281,B01,27,27
20281,B01,27,28
20281,B01,27,29
20281,B01,27,30
20281,B01,27,31
20281,B01,27,32
20281,B01,27,33
20281,B01,27,34
20281,B01,27,35
20281,B01,27,36
