manuscript_id,book,chapter_number,verse_number
32188,B01,12,33
32188,B01,12,34
32188,B01,12,35
32188,B01,12,36
32188,B01,12,37
32188,B01,12,38
32188,B01,12,39
32188,B01,12,40
32188,B01,12,41
32188,B01,12,42
32188,B01,12,43
32188,B01,12,44
32188,B01,12,45
32188,B01,12,46
32188,B01,12,47
32188,B01,12,48
32188,B01,12,49
32188,B01,12,50
32188,B01,17,3
32188,B01,17,4
32188,B01,17,5
32188,B01,17,6
32188,B01,17,7
32188,B01,17,8
32188,B01,17,9
32188,B01,17,10
32188,B01,17,11
32188,B01,17,12
32188,B01,17,13
32188,B01,17,14
32188,B01,17,15
32188,B01,17,16
32188,B01,17,17
32188,B01,17,18
32188,B01,17,19
32188,B01,17,20
32188,B01,17,21
32188,B01,17,22
32188,B01,17,23
32188,B01,17,24
32188,B01,17,25
32188,B01,17,26
32188,B01,17,27
32188,B01,18,1
32188,B01,18,2
32188,B01,18,3
32188,B01,18,5
32188,B01,18,6
32188,B01,18,7
32188,B01,18,8
32188,B01,18,9
32188,B01,18,10
32188,B01,18,11
32188,B01,18,12
32188,B01,18,13
32188,B01,18,14
32188,B01,18,15
32188,B01,18,16
32188,B01,18,17
32188,B01,18,18
32188,B01,18,19
32188,B01,18,21
32188,B01,18,22
32188,B01,18,23
32188,B01,18,24
32188,B01,18,25
32188,B01,18,26
32188,B01,18,27
32188,B01,18,28
32188,B01,18,29
32188,B01,18,30
32188,B01,18,31
32188,B01,18,31
32188,B01,18,32
32188,B01,18,33
32188,B01,18,34
32188,B01,18,35
32188,B01,19,1
32188,B01,19,2
32188,B01,19,3
32188,B01,19,4
32188,B01,19,5
32188,B01,19,6
32188,B01,19,7
32188,B01,19,8
32188,B01,19,9
32188,B01,19,10
32188,B01,19,11
32188,B01,19,12
32188,B01,19,13
32188,B01,19,14
32188,B01,19,15
32188,B01,19,16
32188,B01,19,17
32188,B01,19,18
32188,B01,19,19
32188,B01,19,20
32188,B01,19,21
32188,B01,19,22
32188,B01,19,23
32188,B01,19,24
32188,B01,19,25
32188,B01,19,26
32188,B01,19,27
32188,B01,19,28
32188,B01,19,28
32188,B01,19,29
32188,B01,19,30
32188,B01,20,1
32188,B01,20,2
32188,B01,20,3
32188,B01,20,4
32188,B01,20,5
32188,B01,20,6
32188,B01,20,7
32188,B01,20,8
32188,B01,20,9
32188,B01,20,10
32188,B01,20,10
32188,B01,20,11
32188,B01,20,12
32188,B01,20,13
32188,B01,20,14
32188,B01,20,15
32188,B01,20,16
32188,B01,20,20
32188,B01,20,21
32188,B01,20,22
32188,B01,20,23
32188,B01,20,24
32188,B01,20,25
32188,B01,20,26
32188,B01,20,27
32188,B01,20,28
32188,B01,20,29
32188,B01,20,30
32188,B01,20,32
32188,B01,20,33
32188,B01,20,34
32188,B01,21,1
32188,B01,21,2
32188,B01,21,3
32188,B01,21,4
32188,B01,21,5
32188,B01,21,6
32188,B01,21,7
32188,B01,21,8
32188,B01,21,9
32188,B01,21,10
32188,B01,21,11
32188,B01,21,11
32188,B01,21,12
32188,B01,21,13
32188,B01,21,14
32188,B01,21,15
32188,B01,21,16
32188,B01,21,17
32188,B01,21,18
32188,B01,21,19
32188,B01,21,20
32188,B01,21,21
32188,B01,21,22
32188,B01,21,23
32188,B01,21,24
32188,B01,21,25
32188,B01,21,26
32188,B01,21,27
32188,B01,21,28
32188,B01,21,29
32188,B01,21,30
32188,B01,21,31
32188,B01,21,32
32188,B01,21,33
32188,B01,21,34
32188,B01,21,35
32188,B01,21,36
32188,B01,21,37
32188,B01,21,38
32188,B01,21,39
32188,B01,21,40
32188,B01,21,41
32188,B01,21,42
32188,B01,21,43
32188,B01,21,44
32188,B01,21,45
32188,B01,21,46
32188,B01,22,1
32188,B01,22,2
32188,B01,22,3
32188,B01,22,4
32188,B01,22,5
32188,B01,22,6
32188,B01,22,7
32188,B01,22,8
32188,B01,22,9
32188,B01,22,10
32188,B01,22,11
32188,B01,22,12
32188,B01,22,13
32188,B01,22,14
32188,B01,22,15
32188,B01,22,16
32188,B01,22,17
32188,B01,22,18
32188,B01,22,19
32188,B01,22,20
32188,B01,22,21
32188,B01,22,22
32188,B01,22,23
32188,B01,22,24
32188,B01,22,25
32188,B01,22,26
32188,B01,22,27
32188,B01,22,28
32188,B01,22,29
32188,B01,22,30
32188,B01,22,31
32188,B01,22,32
32188,B01,22,33
32188,B01,22,34
32188,B01,22,35
32188,B01,22,36
32188,B01,22,37
32188,B01,22,38
32188,B01,22,39
32188,B01,22,40
32188,B01,22,41
32188,B01,22,42
32188,B01,22,43
32188,B01,22,44
32188,B01,22,45
32188,B01,22,46
32188,B01,23,1
32188,B01,23,2
32188,B01,23,3
32188,B01,23,4
32188,B01,23,5
32188,B01,23,6
32188,B01,23,7
32188,B01,23,8
32188,B01,23,9
32188,B01,23,10
32188,B01,23,11
32188,B01,23,12
32188,B01,23,13
32188,B01,23,14
32188,B01,23,15
32188,B01,23,15
32188,B01,23,16
32188,B01,23,17
32188,B01,23,18
32188,B01,23,19
32188,B01,23,20
32188,B01,23,21
32188,B01,23,22
32188,B01,23,23
32188,B01,23,24
32188,B01,23,25
32188,B01,23,26
32188,B01,23,27
32188,B01,23,28
32188,B01,23,29
32188,B01,23,30
32188,B01,23,31
32188,B01,23,32
32188,B01,23,33
32188,B01,23,34
32188,B01,23,35
32188,B01,23,35
32188,B01,23,36
32188,B01,23,37
32188,B01,23,38
32188,B01,23,39
32188,B01,24,1
32188,B01,24,2
32188,B01,24,3
32188,B01,24,3
32188,B01,24,4
32188,B01,24,5
32188,B01,24,6
32188,B01,24,7
32188,B01,24,8
32188,B01,24,9
32188,B01,24,10
32188,B01,24,11
32188,B01,24,12
32188,B01,24,13
32188,B01,24,14
32188,B01,24,15
32188,B01,24,16
32188,B01,24,17
32188,B01,24,18
32188,B01,24,19
32188,B01,24,20
32188,B01,24,21
32188,B01,24,22
32188,B01,24,23
32188,B01,24,24
32188,B01,24,25
32188,B01,24,26
32188,B01,24,27
32188,B01,24,28
32188,B01,24,29
32188,B01,24,30
32188,B01,24,31
32188,B01,24,32
32188,B01,24,33
32188,B01,24,34
32188,B01,24,35
32188,B01,24,36
32188,B01,24,37
32188,B01,24,38
32188,B01,24,39
32188,B01,24,40
32188,B01,24,41
32188,B01,24,42
32188,B01,24,43
32188,B01,24,44
32188,B01,24,45
32188,B01,24,46
32188,B01,24,47
32188,B01,24,48
32188,B01,24,49
32188,B01,24,50
32188,B01,24,51
32188,B01,25,1
32188,B01,25,2
32188,B01,25,3
32188,B01,25,4
32188,B01,25,5
32188,B01,25,6
32188,B01,25,7
32188,B01,25,8
32188,B01,25,9
32188,B01,25,10
32188,B01,25,11
32188,B01,25,12
32188,B01,25,13
32188,B01,25,14
32188,B01,25,15
32188,B01,25,16
32188,B01,25,17
32188,B01,25,18
32188,B01,25,19
32188,B01,25,20
32188,B01,25,21
32188,B01,25,22
32188,B01,25,23
32188,B01,25,24
32188,B01,25,24
32188,B01,25,25
32188,B01,25,26
32188,B01,25,27
32188,B01,25,28
32188,B01,25,29
32188,B01,25,30
32188,B01,25,31
32188,B01,25,31
32188,B01,25,32
32188,B01,25,33
32188,B01,25,34
32188,B01,25,35
32188,B01,25,36
32188,B01,25,37
32188,B01,25,38
32188,B01,25,39
32188,B01,25,40
32188,B01,25,41
32188,B01,25,42
32188,B01,25,43
32188,B01,25,44
32188,B01,25,45
32188,B01,25,46
32188,B01,25,46
32188,B01,26,1
32188,B01,26,2
32188,B01,26,3
32188,B01,26,4
32188,B01,26,5
32188,B01,26,6
32188,B01,26,7
32188,B01,26,8
32188,B01,26,9
32188,B01,26,10
32188,B01,26,11
32188,B01,26,12
32188,B01,26,13
32188,B01,26,14
32188,B01,26,15
32188,B01,26,16
32188,B01,26,17
32188,B01,26,18
32188,B01,26,19
32188,B01,26,20
32188,B01,26,21
32188,B01,26,22
32188,B01,26,23
32188,B01,26,24
32188,B01,26,24
32188,B01,26,26
32188,B01,26,27
32188,B01,26,28
32188,B01,26,29
32188,B01,26,30
32188,B01,26,31
32188,B01,26,32
32188,B01,26,33
32188,B01,26,34
32188,B01,26,35
32188,B01,26,36
32188,B01,26,37
32188,B01,26,38
32188,B01,26,39
32188,B01,26,40
32188,B01,26,41
32188,B01,26,42
32188,B01,26,42
32188,B01,26,43
32188,B01,26,44
32188,B01,26,45
32188,B01,26,46
32188,B01,26,47
32188,B01,26,48
32188,B01,26,49
32188,B01,26,50
32188,B01,26,51
32188,B01,26,52
32188,B01,26,53
32188,B01,26,54
32188,B01,26,55
32188,B01,26,56
32188,B01,26,57
32188,B01,26,58
32188,B01,26,59
32188,B01,26,60
32188,B01,26,61
32188,B01,26,62
32188,B01,26,63
32188,B01,26,64
32188,B01,26,64
32188,B01,26,65
32188,B01,26,66
32188,B01,26,67
32188,B01,26,68
32188,B01,26,69
32188,B01,26,70
32188,B01,26,71
32188,B01,26,72
32188,B01,26,73
32188,B01,26,74
32188,B01,26,75
32188,B01,27,1
32188,B01,27,1
32188,B01,27,2
32188,B01,27,3
32188,B01,27,4
32188,B01,27,5
32188,B01,27,6
32188,B01,27,7
32188,B01,27,8
32188,B01,27,9
32188,B01,27,10
32188,B01,27,11
32188,B01,27,12
32188,B01,27,13
32188,B01,27,14
32188,B01,27,14
32188,B01,27,15
32188,B01,27,16
32188,B01,27,17
32188,B01,27,18
32188,B01,27,19
32188,B01,27,20
32188,B01,27,21
32188,B01,27,22
32188,B01,27,24
32188,B01,27,25
32188,B01,27,26
32188,B01,27,27
32188,B01,27,28
32188,B01,27,29
32188,B01,27,30
32188,B01,27,31
32188,B01,27,32
32188,B01,27,33
32188,B01,27,34
32188,B01,27,35
32188,B01,27,36
32188,B01,27,37
32188,B01,27,38
32188,B01,27,39
32188,B01,27,40
32188,B01,27,41
32188,B01,27,42
32188,B01,27,43
32188,B01,27,44
32188,B01,27,45
32188,B01,27,46
32188,B01,27,47
32188,B01,27,48
32188,B01,27,49
32188,B01,27,50
32188,B01,27,51
32188,B01,27,52
32188,B01,27,53
32188,B01,27,54
32188,B01,27,55
32188,B01,27,56
32188,B01,27,57
32188,B01,27,58
32188,B01,27,59
32188,B01,27,60
32188,B01,27,61
32188,B01,27,62
32188,B01,27,63
32188,B01,27,64
32188,B01,27,65
32188,B01,27,66
32188,B01,28,1
32188,B01,28,2
32188,B01,28,3
32188,B01,28,4
32188,B01,28,5
32188,B01,28,6
32188,B01,28,7
32188,B01,28,8
32188,B01,28,9
32188,B01,28,10
32188,B01,28,11
32188,B01,28,12
32188,B01,28,13
32188,B01,28,14
32188,B01,28,15
32188,B01,28,16
32188,B01,28,17
32188,B01,28,18
32188,B01,28,19
32188,B01,28,20
