manuscript_id,book,chapter_number,verse_number
20130,B02,1,31
20130,B02,1,32
20130,B02,1,33
20130,B02,1,34
20130,B02,1,35
20130,B02,1,36
20130,B02,1,37
20130,B02,1,37
20130,B02,1,38
20130,B02,1,40
20130,B02,1,41
20130,B02,1,42
20130,B02,1,43
20130,B02,1,44
20130,B02,1,44
20130,B02,1,45
20130,B02,2,1
20130,B02,2,2
20130,B02,2,2
20130,B02,2,3
20130,B02,2,4
20130,B02,2,5
20130,B02,2,6
20130,B02,2,7
20130,B02,2,8
20130,B02,2,8
20130,B02,2,9
20130,B02,2,10
20130,B02,2,11
20130,B02,2,12
20130,B02,2,13
20130,B02,2,14
20130,B02,2,15
20130,B02,2,16
