manuscript_id,book,chapter_number,verse_number
40844,B01,1,1
40844,B01,1,2
40844,B01,1,3
40844,B01,1,3
40844,B01,1,4
40844,B01,1,5
40844,B01,1,6
40844,B01,1,7
40844,B01,1,7
40844,B01,1,8
40844,B01,1,9
40844,B01,1,10
40844,B01,1,11
40844,B01,1,12
40844,B01,1,13
40844,B01,1,14
40844,B01,1,15
40844,B01,1,16
40844,B01,1,16
40844,B01,1,17
40844,B01,1,18
40844,B01,1,18
40844,B01,1,19
40844,B01,1,20
40844,B01,1,21
40844,B01,1,22
40844,B01,1,22
40844,B01,1,23
40844,B01,1,24
40844,B01,1,25
40844,B01,2,1
40844,B01,2,2
40844,B01,2,2
40844,B01,2,3
40844,B01,2,4
40844,B01,2,5
40844,B01,2,6
40844,B01,2,6
40844,B01,2,7
40844,B01,2,8
40844,B01,2,9
40844,B01,2,10
40844,B01,2,10
40844,B01,2,11
40844,B01,2,12
40844,B01,3,1
40844,B01,3,2
40844,B01,3,3
40844,B01,3,4
40844,B01,3,4
40844,B01,3,5
40844,B01,3,6
40844,B01,3,7
40844,B01,3,8
40844,B01,3,8
40844,B01,3,9
40844,B01,3,10
40844,B01,3,11
40844,B01,3,12
40844,B01,3,12
40844,B01,3,13
40844,B01,3,14
40844,B01,3,15
40844,B01,3,16
40844,B01,3,16
40844,B01,3,17
40844,B01,4,12
40844,B01,4,13
40844,B01,4,14
40844,B01,4,15
40844,B01,4,15
40844,B01,4,16
40844,B01,4,17
40844,B01,4,18
40844,B01,4,19
40844,B01,4,19
40844,B01,4,20
40844,B01,4,21
40844,B01,4,22
40844,B01,4,23
40844,B01,4,23
40844,B01,4,24
40844,B01,4,25
40844,B01,5,2
40844,B01,5,3
40844,B01,5,4
40844,B01,5,5
40844,B01,5,6
40844,B01,5,7
40844,B01,5,8
40844,B01,5,9
40844,B01,5,9
40844,B01,5,10
40844,B01,5,11
40844,B01,5,12
40844,B01,5,17
40844,B01,5,18
40844,B01,5,19
40844,B01,5,20
40844,B01,5,21
40844,B01,5,22
40844,B01,5,22
40844,B01,5,23
40844,B01,5,24
40844,B01,5,25
40844,B01,5,25
40844,B01,5,26
40844,B01,5,27
40844,B01,5,28
40844,B01,5,29
40844,B01,5,30
40844,B01,5,30
40844,B01,5,31
40844,B01,5,32
