manuscript_id,book,chapter_number,verse_number
30837,B01,1,17
30837,B01,1,18
30837,B01,1,19
30837,B01,1,20
30837,B01,1,21
30837,B01,1,22
30837,B01,1,23
30837,B01,1,24
30837,B01,1,25
30837,B01,1,25
30837,B01,2,1
30837,B01,2,2
30837,B01,2,3
30837,B01,2,4
30837,B01,2,5
30837,B01,2,6
30837,B01,2,7
30837,B01,2,8
30837,B01,2,8
30837,B01,2,9
30837,B01,2,10
30837,B01,2,11
30837,B01,2,12
30837,B01,2,13
30837,B01,2,14
30837,B01,2,15
30837,B01,2,16
30837,B01,2,16
30837,B01,2,17
30837,B01,2,18
30837,B01,2,19
30837,B01,2,20
30837,B01,2,21
30837,B01,2,22
30837,B01,2,23
30837,B01,2,23
30837,B01,3,1
30837,B01,3,2
30837,B01,3,3
30837,B01,3,4
30837,B01,3,5
30837,B01,3,6
30837,B01,3,7
30837,B01,3,8
30837,B01,3,8
30837,B01,3,9
30837,B01,3,10
30837,B01,3,11
30837,B01,3,12
30837,B01,3,13
30837,B01,3,14
30837,B01,3,15
30837,B01,3,16
30837,B01,3,16
30837,B01,3,17
30837,B01,4,1
30837,B01,4,2
30837,B01,4,3
30837,B01,4,4
30837,B01,4,5
30837,B01,4,6
30837,B01,4,7
30837,B01,4,8
30837,B01,4,8
30837,B01,4,9
30837,B01,4,10
30837,B01,4,11
30837,B01,4,12
30837,B01,4,13
30837,B01,4,14
30837,B01,4,15
30837,B01,4,16
30837,B01,4,17
30837,B01,4,18
30837,B01,4,18
30837,B01,4,19
30837,B01,4,20
30837,B01,4,21
30837,B01,4,22
30837,B01,4,23
30837,B01,4,24
30837,B01,4,25
30837,B01,5,1
30837,B01,5,2
30837,B01,5,3
30837,B01,5,4
30837,B01,5,5
30837,B01,5,6
30837,B01,5,7
30837,B01,5,8
30837,B01,5,9
30837,B01,5,10
30837,B01,5,11
30837,B01,5,12
30837,B01,5,13
30837,B01,5,13
30837,B01,5,14
30837,B01,5,15
30837,B01,5,16
30837,B01,5,17
30837,B01,5,18
30837,B01,5,19
30837,B01,5,20
30837,B01,5,21
30837,B01,5,22
30837,B01,5,22
30837,B01,5,23
30837,B01,5,24
30837,B01,5,25
30837,B01,5,26
30837,B01,5,27
30837,B01,5,28
30837,B01,5,29
30837,B01,5,30
30837,B01,17,24
30837,B01,17,25
30837,B01,17,26
30837,B01,17,27
30837,B01,18,1
30837,B01,18,2
30837,B01,18,3
30837,B01,18,4
30837,B01,18,5
30837,B01,18,6
30837,B01,18,7
30837,B01,18,8
30837,B01,18,9
30837,B01,18,10
30837,B01,18,12
30837,B01,18,12
30837,B01,18,13
30837,B01,18,14
30837,B01,18,15
30837,B01,18,16
30837,B01,18,17
30837,B01,18,18
30837,B01,18,19
30837,B01,18,20
30837,B01,18,20
30837,B01,18,21
30837,B01,18,22
30837,B01,18,23
30837,B01,18,24
30837,B01,18,25
30837,B01,18,26
30837,B01,18,27
30837,B01,18,28
30837,B01,18,29
30837,B01,18,29
30837,B01,18,30
30837,B01,18,31
30837,B01,18,32
30837,B01,18,33
30837,B01,18,34
30837,B01,18,35
30837,B01,19,1
30837,B01,19,2
30837,B01,19,3
30837,B01,19,3
30837,B01,19,4
30837,B01,19,5
