manuscript_id,book,chapter_number,verse_number
32148,B02,1,1
32148,B02,1,2
32148,B02,1,3
32148,B02,1,4
32148,B02,1,5
32148,B02,1,6
32148,B02,1,7
32148,B02,1,8
32148,B02,1,9
32148,B02,1,9
32148,B02,1,10
32148,B02,1,11
32148,B02,1,12
32148,B02,1,13
32148,B02,1,14
32148,B02,1,15
32148,B02,1,16
32148,B02,1,17
32148,B02,1,18
32148,B02,1,19
32148,B02,1,19
32148,B02,1,20
32148,B02,1,21
32148,B02,1,22
32148,B02,1,23
32148,B02,1,24
32148,B02,1,25
32148,B02,1,26
32148,B02,1,27
32148,B02,1,28
32148,B02,1,29
32148,B02,1,30
32148,B02,1,31
32148,B02,1,32
32148,B02,1,33
32148,B02,1,34
32148,B02,1,35
32148,B02,1,36
32148,B02,1,37
32148,B02,1,38
32148,B02,1,39
32148,B02,1,40
32148,B02,1,41
32148,B02,1,42
32148,B02,1,43
32148,B02,1,44
32148,B02,1,45
32148,B02,2,1
32148,B02,2,2
32148,B02,2,3
32148,B02,2,4
32148,B02,2,5
32148,B02,2,6
32148,B02,2,7
32148,B02,2,8
32148,B02,2,9
32148,B02,2,10
32148,B02,2,11
32148,B02,2,11
32148,B02,2,12
32148,B02,2,13
32148,B02,2,14
32148,B02,2,15
32148,B02,2,16
32148,B02,2,16
32148,B02,2,17
32148,B02,2,18
32148,B02,2,19
32148,B02,2,20
32148,B02,2,21
32148,B02,2,22
32148,B02,2,23
32148,B02,2,24
32148,B02,2,25
32148,B02,2,26
32148,B02,2,27
32148,B02,2,28
32148,B02,3,1
32148,B02,3,2
32148,B02,3,3
32148,B02,3,4
32148,B02,3,5
32148,B02,3,6
32148,B02,3,7
32148,B02,3,8
32148,B02,3,9
32148,B02,3,10
32148,B02,3,11
32148,B02,3,12
32148,B02,3,13
32148,B02,3,14
32148,B02,3,15
32148,B02,3,16
32148,B02,3,17
32148,B02,3,18
32148,B02,3,18
32148,B02,3,19
32148,B02,3,20
32148,B02,3,21
32148,B02,3,22
32148,B02,3,23
32148,B02,3,24
32148,B02,3,25
32148,B02,3,26
32148,B02,3,27
32148,B02,3,28
32148,B02,3,29
32148,B02,3,30
32148,B02,3,31
32148,B02,3,32
32148,B02,3,33
32148,B02,3,34
32148,B02,3,35
32148,B02,4,1
32148,B02,4,2
32148,B02,4,3
32148,B02,4,4
32148,B02,4,5
32148,B02,4,6
32148,B02,4,7
32148,B02,4,8
32148,B02,4,9
32148,B02,4,10
32148,B02,4,11
32148,B02,4,12
32148,B02,4,13
32148,B02,4,14
32148,B02,4,15
32148,B02,4,16
32148,B02,4,17
32148,B02,4,18
32148,B02,4,19
32148,B02,4,20
32148,B02,4,21
32148,B02,4,22
32148,B02,4,23
32148,B02,4,24
32148,B02,4,25
32148,B02,4,26
32148,B02,4,27
32148,B02,4,28
32148,B02,4,29
32148,B02,4,30
32148,B02,4,31
32148,B02,4,31
32148,B02,4,32
32148,B02,4,33
32148,B02,4,34
32148,B02,4,35
32148,B02,4,36
32148,B02,4,37
32148,B02,4,38
32148,B02,4,39
32148,B02,4,40
32148,B02,4,41
32148,B02,5,1
32148,B02,5,2
32148,B02,5,3
32148,B02,5,4
32148,B02,5,5
32148,B02,5,6
32148,B02,5,7
32148,B02,5,8
32148,B02,5,9
32148,B02,5,10
32148,B02,5,11
32148,B02,5,12
32148,B02,5,13
32148,B02,5,14
32148,B02,5,15
32148,B02,5,16
32148,B02,5,17
32148,B02,5,17
32148,B02,5,18
32148,B02,5,19
32148,B02,5,20
32148,B02,5,21
32148,B02,5,22
32148,B02,5,23
32148,B02,5,24
32148,B02,5,25
32148,B02,5,26
32148,B02,5,27
32148,B02,5,28
32148,B02,5,29
32148,B02,5,30
32148,B02,5,31
32148,B02,5,32
32148,B02,5,33
32148,B02,5,34
32148,B02,5,35
32148,B02,5,36
32148,B02,5,37
32148,B02,5,38
32148,B02,5,39
32148,B02,5,40
32148,B02,5,41
32148,B02,5,42
32148,B02,5,43
32148,B02,6,1
32148,B02,6,2
32148,B02,6,3
32148,B02,6,4
32148,B02,6,5
32148,B02,6,6
32148,B02,6,7
32148,B02,6,8
32148,B02,6,9
32148,B02,6,10
32148,B02,6,11
32148,B02,6,12
32148,B02,6,13
32148,B02,6,14
32148,B02,6,15
32148,B02,6,16
32148,B02,6,17
32148,B02,6,18
32148,B02,6,19
32148,B02,6,20
32148,B02,6,21
32148,B02,6,22
32148,B02,6,23
32148,B02,6,24
32148,B02,6,25
32148,B02,6,26
32148,B02,6,27
32148,B02,6,28
32148,B02,6,29
32148,B02,6,30
32148,B02,6,31
32148,B02,6,32
32148,B02,6,33
32148,B02,6,34
32148,B02,6,35
32148,B02,6,36
32148,B02,6,37
32148,B02,6,38
32148,B02,6,39
32148,B02,6,40
32148,B02,6,41
32148,B02,6,41
32148,B02,6,42
32148,B02,6,43
32148,B02,6,44
32148,B02,6,45
32148,B02,6,46
32148,B02,6,47
32148,B02,6,48
32148,B02,6,49
32148,B02,6,50
32148,B02,6,51
32148,B02,6,52
32148,B02,6,53
32148,B02,6,54
32148,B02,6,55
32148,B02,6,56
32148,B02,7,1
32148,B02,7,2
32148,B02,7,3
32148,B02,7,4
32148,B02,7,5
32148,B02,7,6
