manuscript_id,book,chapter_number,verse_number
20064,B02,1,11
20064,B02,1,12
20064,B02,1,13
20064,B02,1,14
20064,B02,1,15
20064,B02,1,16
20064,B02,1,17
20064,B02,1,17
20064,B02,1,18
20064,B02,1,19
20064,B02,1,20
20064,B02,1,21
20064,B02,1,22
20064,B02,1,34
20064,B02,1,35
20064,B02,1,36
20064,B02,1,37
20064,B02,1,38
20064,B02,1,39
20064,B02,1,40
20064,B02,1,41
20064,B02,1,41
20064,B02,1,42
20064,B02,1,43
20064,B02,1,44
20064,B02,1,45
20064,B02,2,1
20064,B02,2,1
20064,B02,2,2
20064,B02,2,3
20064,B02,2,4
20064,B02,2,5
20064,B02,2,6
20064,B02,2,7
20064,B02,2,7
20064,B02,2,8
20064,B02,2,9
20064,B02,2,10
20064,B02,2,11
20064,B02,2,12
20064,B02,2,21
20064,B02,2,22
20064,B02,2,23
20064,B02,2,24
20064,B02,2,25
20064,B02,2,25
20064,B02,2,26
20064,B02,2,27
20064,B02,2,28
20064,B02,3,1
20064,B02,3,2
20064,B02,3,3
20064,B02,3,27
20064,B02,3,28
20064,B02,3,29
20064,B02,3,30
20064,B02,3,31
20064,B02,3,32
20064,B02,3,32
20064,B02,3,33
20064,B02,3,34
20064,B02,3,35
20064,B02,4,1
20064,B02,4,2
20064,B02,4,3
20064,B02,4,4
20064,B02,5,9
20064,B02,5,10
20064,B02,5,11
20064,B02,5,12
20064,B02,5,13
20064,B02,5,14
20064,B02,5,15
20064,B02,5,15
20064,B02,5,16
20064,B02,5,17
20064,B02,5,18
20064,B02,5,19
20064,B02,5,20
