manuscript_id,book,chapter_number,verse_number
10011,B07,1,17
10011,B07,1,18
10011,B07,1,19
10011,B07,1,20
10011,B07,1,20
10011,B07,1,21
10011,B07,1,22
10011,B07,1,25
10011,B07,1,26
10011,B07,1,27
10011,B07,2,6
10011,B07,2,7
10011,B07,2,8
10011,B07,2,9
10011,B07,2,10
10011,B07,2,11
10011,B07,2,12
10011,B07,2,14
10011,B07,3,1
10011,B07,3,2
10011,B07,3,2
10011,B07,3,3
10011,B07,3,5
10011,B07,3,6
10011,B07,3,8
10011,B07,3,9
10011,B07,3,10
10011,B07,3,20
10011,B07,4,3
10011,B07,4,4
10011,B07,4,5
10011,B07,4,5
10011,B07,4,6
10011,B07,4,6
10011,B07,4,7
10011,B07,4,8
10011,B07,4,9
10011,B07,4,10
10011,B07,4,12
10011,B07,4,13
10011,B07,4,14
10011,B07,4,15
10011,B07,4,16
10011,B07,4,17
10011,B07,4,18
10011,B07,4,19
10011,B07,4,20
10011,B07,4,21
10011,B07,5,1
10011,B07,5,2
10011,B07,5,3
10011,B07,5,4
10011,B07,5,5
10011,B07,5,7
10011,B07,5,8
10011,B07,6,5
10011,B07,6,6
10011,B07,6,7
10011,B07,6,11
10011,B07,6,12
10011,B07,6,13
10011,B07,6,14
10011,B07,6,15
10011,B07,6,15
10011,B07,6,16
10011,B07,6,17
10011,B07,6,18
10011,B07,7,3
10011,B07,7,4
10011,B07,7,5
10011,B07,7,6
10011,B07,7,10
10011,B07,7,11
10011,B07,7,12
10011,B07,7,13
10011,B07,7,14
