manuscript_id,book,chapter_number,verse_number
40547,B01,1,1
40547,B01,1,2
40547,B01,1,3
40547,B01,1,4
40547,B01,1,5
40547,B01,1,6
40547,B01,1,7
40547,B01,1,7
40547,B01,1,8
40547,B01,1,9
40547,B01,1,10
40547,B01,1,11
40547,B01,1,12
40547,B01,1,13
40547,B01,1,14
40547,B01,1,15
40547,B01,1,16
40547,B01,1,17
40547,B01,1,17
40547,B01,1,18
40547,B01,1,18
40547,B01,1,19
40547,B01,1,20
40547,B01,1,21
40547,B01,1,22
40547,B01,1,23
40547,B01,1,24
40547,B01,1,25
40547,B01,1,25
40547,B01,2,1
40547,B01,2,2
40547,B01,2,3
40547,B01,2,4
40547,B01,2,5
40547,B01,2,6
40547,B01,2,7
40547,B01,2,7
40547,B01,2,8
40547,B01,2,9
40547,B01,2,10
40547,B01,2,11
40547,B01,2,12
40547,B01,2,13
40547,B01,2,13
40547,B01,2,14
40547,B01,2,15
40547,B01,2,16
40547,B01,2,17
40547,B01,2,18
40547,B01,2,19
40547,B01,2,20
40547,B01,2,21
40547,B01,2,22
40547,B01,2,22
40547,B01,2,23
40547,B01,3,1
40547,B01,3,2
40547,B01,3,3
40547,B01,3,4
40547,B01,3,5
40547,B01,3,6
40547,B01,3,7
40547,B01,3,8
40547,B01,3,9
40547,B01,3,10
40547,B01,3,10
40547,B01,3,11
40547,B01,3,13
40547,B01,3,14
40547,B01,3,14
40547,B01,3,15
40547,B01,3,16
40547,B01,3,17
40547,B01,4,1
40547,B01,4,2
40547,B01,4,3
40547,B01,4,4
40547,B01,4,5
40547,B01,4,6
40547,B01,4,7
40547,B01,4,8
40547,B01,4,9
40547,B01,4,10
40547,B01,4,11
40547,B01,4,12
40547,B01,4,13
40547,B01,4,14
40547,B01,4,15
40547,B01,4,16
40547,B01,4,17
40547,B01,4,18
40547,B01,4,19
40547,B01,4,20
40547,B01,4,21
40547,B01,4,22
40547,B01,4,22
40547,B01,4,23
40547,B01,5,14
40547,B01,5,15
40547,B01,5,16
40547,B01,5,17
40547,B01,5,18
40547,B01,5,19
40547,B01,5,42
40547,B01,5,43
40547,B01,5,44
40547,B01,5,44
40547,B01,5,45
40547,B01,5,46
40547,B01,5,47
40547,B01,5,48
40547,B01,6,1
40547,B01,6,2
40547,B01,6,3
40547,B01,6,4
40547,B01,6,5
40547,B01,6,6
40547,B01,6,6
40547,B01,6,7
40547,B01,6,8
40547,B01,6,9
40547,B01,6,10
40547,B01,6,11
40547,B01,6,12
40547,B01,6,13
40547,B01,6,14
40547,B01,6,15
40547,B01,6,16
40547,B01,6,17
40547,B01,6,17
40547,B01,6,18
40547,B01,6,19
40547,B01,6,20
40547,B01,6,21
40547,B01,6,22
40547,B01,6,23
40547,B01,6,24
40547,B01,6,25
40547,B01,6,26
40547,B01,6,26
40547,B01,6,27
40547,B01,6,28
40547,B01,6,29
40547,B01,6,30
40547,B01,6,31
40547,B01,6,32
40547,B01,6,33
40547,B01,7,1
40547,B01,7,2
40547,B01,7,3
40547,B01,7,4
40547,B01,7,5
40547,B01,7,5
40547,B01,7,6
40547,B01,7,7
40547,B01,7,8
40547,B01,7,12
40547,B01,7,13
40547,B01,7,13
40547,B01,7,14
40547,B01,7,15
40547,B01,7,16
40547,B01,7,17
40547,B01,7,18
40547,B01,7,19
40547,B01,7,20
40547,B01,7,21
40547,B01,7,24
40547,B01,7,25
40547,B01,7,26
40547,B01,7,27
40547,B01,7,28
40547,B01,7,29
40547,B01,8,1
40547,B01,8,1
40547,B01,8,2
40547,B01,8,3
40547,B01,8,4
40547,B01,8,5
40547,B01,8,6
40547,B01,8,7
40547,B01,8,8
40547,B01,8,9
40547,B01,8,10
40547,B01,8,10
40547,B01,8,11
40547,B01,8,12
40547,B01,8,13
40547,B01,8,14
40547,B01,8,15
40547,B01,8,16
40547,B01,8,17
40547,B01,8,17
40547,B01,8,18
40547,B01,8,19
40547,B01,8,20
40547,B01,8,21
40547,B01,8,22
40547,B01,8,23
40547,B01,8,23
40547,B01,8,24
40547,B01,8,25
40547,B01,8,26
40547,B01,8,27
40547,B01,8,28
