manuscript_id,book,chapter_number,verse_number
20136,B01,13,46
20136,B01,13,47
20136,B01,13,48
20136,B01,13,49
20136,B01,13,50
20136,B01,13,51
20136,B01,13,52
20136,B01,14,6
20136,B01,14,7
20136,B01,14,8
20136,B01,14,9
20136,B01,14,9
20136,B01,14,10
20136,B01,14,11
20136,B01,14,12
20136,B01,14,13
20136,B01,25,9
20136,B01,25,10
20136,B01,25,11
20136,B01,25,12
20136,B01,25,13
20136,B01,25,14
20136,B01,25,15
20136,B01,25,16
20136,B01,25,41
20136,B01,25,42
20136,B01,25,43
20136,B01,25,44
20136,B01,25,44
20136,B01,25,45
20136,B01,25,46
20136,B01,26,1
