abbreviations,spelled_out,manuscript,code_verse,byz_verse_text
πριας,πατριας,,,
πριδα,πατριδα,,,
πριδι,πατριδι,,,
πρν,πατερων,,,
προς,πατρος,,,
πρς,πατρος,,,
πρων,πατερων,,,
πρωοις,πατρωοις,,,
πρωου,πατρωου,,,
πρωω,πατρωω,,,
πς,πατερες,,,
πτρα,πατερα,,,
σηρ,σωτηρ,,,
σιν,σταυρωσωσιν,,,
σρα,σωτηρα,,,
σρας,σωτηριας,,,
σρηας,σωτηριας,,,
σρι,σωτηρι,,,
σρια,σωτηρια,,,
σριαν,σωτηριαν,,,
σριας,σωτηριας,,,
σριον,σωτηριον,,,
σρν,σταυρον,,,
σρναι,σταυρωθηναι,,,
σρον,σταυρον,,,
σρος,σωτηρος,,,
σρου,σταυρου,,,
σρς,σωτηρος,,,
σρω,σταυρω,,,
σρωσαι,σταυρωσαι,,,
σρωσαντες,σταυρωσαντες,,,
σρωσον,σταυρωσον,,,
στη,σταυρωθη,,,
στν,σταυρωσον,,,
στον,σταυρον,,,
στου,σταυρου,,,
στρατε,σταυρωσατε,,,
στρθη,σταυρωθη,,,
στρν,σταυρον,,,
στρον,σταυρον,,,
στρον,σταυρον,,,
στρος,σταυρος,,,
στρου,σταυρου,,,
στρουνται,σταυρουνται,,,
στρουσην,σταυρουσιν,,,
στρουσιν,σταυρουσιν,,,
στρς,σταυρος,,,
στρυ,σταυρου,,,
στρω,σταυρω,,,
στρωθειτω,σταυρωθητω,,,
στρωθεντες,συσταυρωθεντες,,,
στρωθη,σταυρωθη,,,
στρωθηθτω,σταυρωθητω,,,
στρωθηναι,σταυρωθηναι,,,
στρωθητω,σταυρωθητω,,,
στρων,σταυρον,,,
στρωσαι,σταυρωσαι,,,
στρωσαιτε,σταυρωσετε,,,
στρωσαντες,σταυρωσαντες,,,
στρωσετε,σταυρωσετε,,,
στρωσητε,σταυρωσετε,,,
στρωσον,σταυρωσον,,,
στρωσον,σταυρωσον,,,
στρωσοντες,σταυρωσαντες,,,
στρωσουσιν,σταυρωσωσιν,,,
στρωσσωσιν,σταυρωσωσιν,,,
στρωσω,σταυρωσω,,,
στρωσωσιν,σταυρωσωσιν,,,
στρωσωσιν,σταυρωσωσιν,,,
στρωτες,σταυρωσαντες,,,
στρωτον,σταυρωσον,,,
στωθηναι,σταυρωθηναι,,,
συνεσστρωμενοι,συνεσταυρωμενοι,,,
συνεστρωμενοι,συνεσταυρωμενοι,,,
συνεστρωμενοι,συνεσταυρωμενοι,,,
συνεστρωμενοι,συνεσταυρωμενοι,,,
συνεστρωμενοι,συνεσταυρωμενοι,,,
συνετρωμενοι,συνεσταυρωμενοι,,,
συνστρωθεντες,συσταυρωθεντες,,,
συνστρωμενοι,συνεσταυρωμενοι,,,
συντρωθεντες,συσταυρωθεντες,,,
συστρουμενοι,συνεσταυρωμενοι,,,
συστρωθεντες,συσταυρωθεντες,,,
συστρωμενοι,συνεσταυρωμενοι,,,
σωρ,σωτηρ,,,
σωσιν,σταυρωσωσιν,,,
τν,τον,,,
υε,υιε,,,
υι,υιοι,,,
υιν,υιον,,,
υις,υιος,,,
υιυ,υιου,,,
υν,υιον,,,
υου,υιου,,,
υς,υιος,,,
υυ,υιου,,,
υυς,υιους,,,
υω,υιω,,,
φιλαναν,φιλανθρωπιαν,,,
φιλανιαν,φιλανθρωπιαν,,,
φιλανιαν,φιλανθρωπιαν,,,
φιλανος,φιλανθρωπως,,,
φιλανος,φιλανθρωπως,,,
φιλανως,φιλανθρωπως,,,
φιλανως,φιλανθρωπως,,,
φιλλανιαν,φιλανθρωπιαν,,,
χε,χριστε,,,
χν,χριστον,,,
χνους,χριστιανους,,,
χρε,χριστε,,,
χρν,χριστον,,,
χρς,χριστος,,,
χρυ,χριστου,,,
χρω,χριστω,,,
χς,χριστος,,,
χυ,χριστου,,,
χω,χριστω,,,
