nonstandard,standard,explanation,manuscript,code_verse,byz_verse_text
ααιτοι,αετοι,"nonstandard αι, standard ε",,,
αβααδων,αββαδων,removal of double β,,,
αβεια,αβια,"nonstandard ει, standard ι",,,
αβειληνης,αβιληνης,"nonstandard ει, standard ι",,,
αβιλινης,αβιληνης,η and ι,,,
αγαγεται,αγαγετε,"nonstandard αι, standard ε",,,
αγαγιν,αγαγειν,"nonstandard ι, standard ει",,,
αγαγωντες,αγαγοντες,ο and ω,,,
αγαθαι,αγαθε,"nonstandard αι, standard ε",,,
αγαθοποιειται,αγαθοποιειτε,"nonstandard αι, standard ε",,,
αγαθοπωιων,αγαθοποιων,ο and ω,,,
αγαθων,αγαθον,ο and ω,,,
αγαθωποιησαι,αγαθοποιησαι,ο and ω,,,
αγαθωποιουντας,αγαθοποιουντας,ο and ω,,,
αγαθως,αγαθος,ο and ω,,,
αγαλλειασθε,αγαλλιασθε,"nonstandard ει, standard ι",,,
αγαλλειωμενοι,αγαλλιωμενοι,"nonstandard ει, standard ι",,,
αγαλλιασεις,αγαλλιασις,"nonstandard ει, standard ι",,,
αγαλλιασθαι,αγαλλιασθε,"nonstandard αι, standard ε",,,
αγαλλιασι,αγαλλιασει,"standard ει, nonstandard ι",,,
αγαλλιωμεν,αγαλλιομεν,ο and ω,,,
αγανακτιν,αγανακτειν,"nonstandard ι, standard ει",,,
αγανακτωυντες,αγανακτουντες,ο and ω,,,
αγαπαται,αγαπατε,"nonstandard αι, standard ε",,,
αγαπησηται,αγαπησητε,"nonstandard αι, standard ε",,,
αγαπησι,αγαπησει,"nonstandard ι, standard ει",,,
αγαπησις,αγαπησεις,"nonstandard ι, standard ει",,,
αγαπητων,αγαπητον,ο and ω,,,
αγαπισει,αγαπησει,η and ι,,,
αγαπισεις,αγαπησεις,η and ι,,,
αγαπιτον,αγαπητον,η and ι,,,
αγαπιτος,αγαπητος,η and ι,,,
αγαπωντας,αγαποντας,ο and ω,,,
αγγελεια,αγγελια,"nonstandard ει, standard ι",,,
αγγελλοι,αγγελοι,λ gemination,,,
αγγελλον,αγγελον,λ gemination,,,
αγγελλους,αγγελους,λ gemination,,,
αγγελλω,αγγελω,λ gemination,,,
αγγελων,αγγελον,ο and ω,,,
αγγια,αγγεια,"nonstandard ι, standard ει",,,
αγγιοις,αγγειοις,"standard ει, nonstandard ι",,,
αγειαι,αγιαι,"nonstandard ει, standard ι",,,
αγειαις,αγιαις,"nonstandard ει, standard ι",,,
αγειασατε,αγιασατε,"nonstandard ει, standard ι",,,
αγειοι,αγιοι,"nonstandard ει, standard ι",,,
αγειος,αγιος,"nonstandard ει, standard ι",,,
αγειω,αγιω,"nonstandard ει, standard ι",,,
αγειων,αγιων,"nonstandard ει, standard ι",,,
αγελι,αγελη,η and ι,,,
αγελλην,αγελην,λ gemination,,,
αγι,αγει,"nonstandard ι, standard ει",,,
αγιαζων,αγιαζον,ο and ω,,,
αγνειας,αγνοιας,"standard ι, nonstandard ει",,,
αγνεισθεις,αγνισθεις,"standard ι, nonstandard ει",,,
αγνεισθητι,αγνισθητι,"nonstandard ει, standard ι",,,
αγνια,αγνεια,"nonstandard ι, standard ει",,,
αγνιζι,αγνιζει,"standard ει, nonstandard ι",,,
αγνοειται,αγνοειτε,"nonstandard αι, standard ε",,,
αγνωησαντες,αγνοησαντες,ο and ω,,,
αγνωουντες,αγνοουντες,ο and ω,,,
αγοραζωντας,αγοραζοντας,ο and ω,,,
αγορασαται,αγορασατε,"nonstandard αι, standard ε",,,
αγορασωσειν,αγορασωσιν,"standard ι, nonstandard ει",,,
αγραματοι,αγραμματοι,removal of double μ,,,
αγρειππα,αγριππα,"nonstandard ει, standard ι",,,
αγριων,αγριον,ο and ω,,,
αγρυπνειται,αγρυπνειτε,"nonstandard αι, standard ε",,,
αγρυπνιτε,αγρυπνειτε,"nonstandard ι, standard ει",,,
αγρων,αγρον,ο and ω,,,
αγωμενων,αγομενων,ο and ω,,,
αγωνιζεσθαι,αγωνιζεσθε,"nonstandard αι, standard ε",,,
αγωνται,αγονται,ο and ω,,,
αγωντες,αγοντες,ο and ω,,,
αγωρα,αγορα,ο and ω,,,
αγωραζει,αγοραζει,ο and ω,,,
αγωραζοντας,αγοραζοντας,ο and ω,,,
αγωραις,αγοραις,ο and ω,,,
αγωραιων,αγοραιων,ο and ω,,,
αγωραν,αγοραν,ο and ω,,,
αγωρας,αγορας,ο and ω,,,
αγωρασαι,αγορασαι,ο and ω,,,
αγωρασας,αγορασας,ο and ω,,,
αγωρασατε,αγορασατε,ο and ω,,,
αγωρασωμεν,αγορασωμεν,ο and ω,,,
αγωρασωσιν,αγορασωσιν,ο and ω,,,
αδδει,αδδι,"nonstandard ει, standard ι",,,
αδειαλειπτος,αδιαλειπτος,"standard ι, nonstandard ει",,,
αδεικειτε,αδικειτε,"standard ι, nonstandard ει",,,
αδελφαι,αδελφε,"nonstandard αι, standard ε",,,
αδελφων,αδελφον,ο and ω,,,
αδελφως,αδελφος,ο and ω,,,
αδημονιν,αδημονειν,"nonstandard ι, standard ει",,,
αδημωνειν,αδημονειν,ο and ω,,,
αδιαλιπτος,αδιαλειπτος,"standard ει, nonstandard ι",,,
αδιαλιπτως,αδιαλειπτως,"standard ει, nonstandard ι",,,
αδικεια,αδικια,"nonstandard ει, standard ι",,,
αδικειαις,αδικιαις,"nonstandard ει, standard ι",,,
αδικειας,αδικιας,"nonstandard ει, standard ι",,,
αδικεισθαι,αδικεισθε,"nonstandard αι, standard ε",,,
αδικειται,αδικειτε,"nonstandard αι, standard ε",,,
αδικηθι,αδικηθη,η and ι,,,
αδικησηται,αδικησητε,"nonstandard αι, standard ε",,,
αδικησις,αδικησης,η and ι,,,
αδικησιτε,αδικησητε,η and ι,,,
αδικιθη,αδικηθη,η and ι,,,
αδικιμα,αδικημα,η and ι,,,
αδικισατω,αδικησατω,η and ι,,,
αδιμονειν,αδημονειν,η and ι,,,
αδοκειμοι,αδοκιμοι,"nonstandard ει, standard ι",,,
αδραμυττινω,αδραμυττηνω,η and ι,,,
αδυνατησι,αδυνατησει,"standard ει, nonstandard ι",,,
αδυνατισει,αδυνατησει,η and ι,,,
αειδειοις,αιδιοις,"nonstandard ει, standard ι",,,
αθεμειτοις,αθεμιτοις,"nonstandard ει, standard ι",,,
αθετειται,αθετειτε,"nonstandard αι, standard ε",,,
αθετι,αθετει,"nonstandard ι, standard ει",,,
αθετισαι,αθετησαι,η and ι,,,
αθετιτε,αθετειτε,"nonstandard ι, standard ει",,,
αθιναιοι,αθηναιοι,η and ι,,,
αθιναις,αθηναις,η and ι,,,
αθινων,αθηνων,η and ι,,,
αι,αει,"nonstandard ι, standard ει",,,
αια,εα,"nonstandard αι, standard ε",,,
αιαν,εαν,"nonstandard αι, standard ε",,,
αιαυτας,εαυτας,"nonstandard αι, standard ε",,,
αιαυτοις,εαυτοις,"nonstandard αι, standard ε",,,
αιαυτους,εαυτους,"nonstandard αι, standard ε",,,
αιγενετο,εγενετο,"nonstandard αι, standard ε",,,
αιγεννηθη,εγεννηθη,"nonstandard αι, standard ε",,,
αιγενομην,εγενομην,"nonstandard αι, standard ε",,,
αιγενοντο,εγενοντο,"nonstandard αι, standard ε",,,
αιγιαλλον,αιγιαλον,λ gemination,,,
αιγινωσκεν,εγινωσκεν,"nonstandard αι, standard ε",,,
αιγιοις,αιγειοις,"standard ει, nonstandard ι",,,
αιγυπτιως,αιγυπτιος,ο and ω,,,
αιγυπτων,αιγυπτον,ο and ω,,,
αιγω,εγω,"nonstandard αι, standard ε",,,
αιδει,εδει,"nonstandard αι, standard ε",,,
αιδωκαται,εδωκατε,"nonstandard αι, standard ε",,,
αιδωκατε,εδωκατε,"nonstandard αι, standard ε",,,
αιθιωπων,αιθιοπων,ο and ω,,,
αιθιωψ,αιθιοψ,ο and ω,,,
αιθναισιν,εθνεσιν,"nonstandard αι, standard ε",,,
αιθνεσιν,εθνεσιν,"nonstandard αι, standard ε",,,
αιθνη,εθνη,"nonstandard αι, standard ε",,,
αιθνος,εθνος,"nonstandard αι, standard ε",,,
αιθνων,εθνων,"nonstandard αι, standard ε",,,
αιθρεψαμεν,εθρεψαμεν,"nonstandard αι, standard ε",,,
αικεινη,εκεινη,"nonstandard αι, standard ε",,,
αικεινοις,εκεινοις,"nonstandard αι, standard ε",,,
αικερδησα,εκερδησα,"nonstandard αι, standard ε",,,
αικλεισθη,εκλεισθη,"nonstandard αι, standard ε",,,
αικοψασθε,εκοψασθε,"nonstandard αι, standard ε",,,
αικρατησαν,εκρατησαν,"nonstandard αι, standard ε",,,
αικρατησαται,εκρατησατε,"nonstandard αι, standard ε",,,
αικρατησατε,εκρατησατε,"nonstandard αι, standard ε",,,
αιλαβεν,ελαβεν,"nonstandard αι, standard ε",,,
αιλαλησαν,ελαλησαν,"nonstandard αι, standard ε",,,
αιματει,αιματι,"nonstandard ει, standard ι",,,
αιμου,εμου,"nonstandard αι, standard ε",,,
αιμωρροουσα,αιμορροουσα,ο and ω,,,
αιν,εν,"nonstandard αι, standard ε",,,
αινεβη,ενεβη,"nonstandard αι, standard ε",,,
αινεργουσιν,ενεργουσιν,"nonstandard αι, standard ε",,,
αινιν,αινειν,"standard ει, nonstandard ι",,,
αινος,ενος,"nonstandard αι, standard ε",,,
αινων,αινον,ο and ω,,,
αινως,ενως,"nonstandard αι, standard ε",,,
αινωχ,ενωχ,"nonstandard αι, standard ε",,,
αιξιν,εξιν,"nonstandard αι, standard ε",,,
αιπαυσαμην,επαυσαμην,"nonstandard αι, standard ε",,,
αιπεγινωσκον,επεγινωσκον,"nonstandard αι, standard ε",,,
αιπενευσεν,επενευσεν,"nonstandard αι, standard ε",,,
αιπεσεν,επεσεν,"nonstandard αι, standard ε",,,
αιπεσκεψασθαι,επεσκεψασθε,"nonstandard αι, standard ε",,,
αιπεσκεψασθε,επεσκεψασθε,"nonstandard αι, standard ε",,,
αιπιστευσαν,επιστευσαν,"nonstandard αι, standard ε",,,
αιπιστευσαται,επιστευσατε,"nonstandard αι, standard ε",,,
αιπιστευσατε,επιστευσατε,"nonstandard αι, standard ε",,,
αιποιησαται,εποιησατε,"nonstandard αι, standard ε",,,
αιποιησεν,εποιησεν,"nonstandard αι, standard ε",,,
αιποτισατε,εποτισατε,"nonstandard αι, standard ε",,,
αιρησωμαι,αιρησομαι,ο and ω,,,
αιρι,αιρει,"standard ει, nonstandard ι",,,
αιρις,αιρεις,"standard ει, nonstandard ι",,,
αιρισει,ερισει,"nonstandard αι, standard ε",,,
αιρομενων,αιρομενον,ο and ω,,,
αιρωμενον,αιρομενον,ο and ω,,,
αιση,εση,"nonstandard αι, standard ε",,,
αισθησεσιν,εσθησεσιν,"nonstandard αι, standard ε",,,
αισθητα,εσθητα,"nonstandard αι, standard ε",,,
αισθητι,εσθητι,"nonstandard αι, standard ε",,,
αισθιειν,εσθιειν,"nonstandard αι, standard ε",,,
αισθιοντες,εσθιοντες,"nonstandard αι, standard ε",,,
αισθιοντων,εσθιοντων,"nonstandard αι, standard ε",,,
αισθιουσιν,εσθιουσιν,"nonstandard αι, standard ε",,,
αισθιων,εσθιων,"nonstandard αι, standard ε",,,
αισθιωσιν,εσθιωσιν,"nonstandard αι, standard ε",,,
αισχατοι,εσχατοι,"nonstandard αι, standard ε",,,
αισχατον,εσχατον,"nonstandard αι, standard ε",,,
αισχατος,εσχατος,"nonstandard αι, standard ε",,,
αισχατου,εσχατου,"nonstandard αι, standard ε",,,
αισχατω,εσχατω,"nonstandard αι, standard ε",,,
αισχατων,εσχατων,"nonstandard αι, standard ε",,,
αισχισθησαν,εσχισθησαν,"nonstandard αι, standard ε",,,
αιτεια,αιτια,"nonstandard ει, standard ι",,,
αιτειαν,αιτιαν,"nonstandard ει, standard ι",,,
αιτειας,αιτιας,"nonstandard ει, standard ι",,,
αιτεινες,αιτινες,"nonstandard ει, standard ι",,,
αιτειον,αιτιον,"nonstandard ει, standard ι",,,
αιτερον,ετερον,"nonstandard αι, standard ε",,,
αιτερου,ετερου,"nonstandard αι, standard ε",,,
αιτησι,αιτησει,"standard ει, nonstandard ι",,,
αιτησωμαι,αιτησομαι,ο and ω,,,
αιτιν,αιτειν,"standard ει, nonstandard ι",,,
αιτις,αιτεις,"standard ει, nonstandard ι",,,
αιτισαι,αιτησαι,η and ι,,,
αιτισας,αιτησας,η and ι,,,
αιτιση,αιτηση,η and ι,,,
αιτισης,αιτησης,η and ι,,,
αιτισηται,αιτησηται,η and ι,,,
αιτισθαι,αιτεισθαι,"standard ει, nonstandard ι",,,
αιτισθε,αιτεισθε,"standard ει, nonstandard ι",,,
αιτισομαι,αιτησομαι,η and ι,,,
αιτισον,αιτησον,η and ι,,,
αιτισωμεν,αιτησωμεν,η and ι,,,
αιτιτε,αιτειτε,"standard ει, nonstandard ι",,,
αιτιτω,αιτειτω,"standard ει, nonstandard ι",,,
αιτοιμοι,ετοιμοι,"nonstandard αι, standard ε",,,
αιτουντει,αιτουντι,"standard ι, nonstandard ει",,,
αιτων,ετων,"nonstandard αι, standard ε",,,
αιφνιδιως,αιφνιδιος,ο and ω,,,
αιφυλαξαται,εφυλαξατε,"nonstandard αι, standard ε",,,
αιφυλαξατε,εφυλαξατε,"nonstandard αι, standard ε",,,
αιχιδνα,εχιδνα,"nonstandard αι, standard ε",,,
αιχιδνων,εχιδνων,"nonstandard αι, standard ε",,,
αιχουσιν,εχουσιν,"nonstandard αι, standard ε",,,
αιψευσω,εψευσω,"nonstandard αι, standard ε",,,
αιωνει,αιωνι,"nonstandard ει, standard ι",,,
αιωνιων,αιωνιον,ο and ω,,,
αιωνως,αιωνος,ο and ω,,,
αιωρακας,εωρακας,"nonstandard αι, standard ε",,,
αιωρακοτες,εωρακοτες,"nonstandard αι, standard ε",,,
αιως,εως,"nonstandard αι, standard ε",,,
ακαθαρσεια,ακαθαρσια,"nonstandard ει, standard ι",,,
ακαθαρσειας,ακαθαρσιας,"standard ι, nonstandard ει",,,
ακαθαρτων,ακαθαρτον,ο and ω,,,
ακαρπως,ακαρπος,ο and ω,,,
ακαταστασειαι,ακαταστασιαι,"nonstandard ει, standard ι",,,
ακηκοαται,ακηκοατε,"nonstandard αι, standard ε",,,
ακηκωαμεν,ακηκοαμεν,ο and ω,,,
ακικοα,ακηκοα,η and ι,,,
ακικοαμεν,ακηκοαμεν,η and ι,,,
ακλεινη,ακλινη,"nonstandard ει, standard ι",,,
ακολουθειν,ακολουθει,movable ν,,,
ακολουθησαται,ακολουθησατε,"nonstandard αι, standard ε",,,
ακολουθησις,ακολουθησεις,"nonstandard ι, standard ει",,,
ακολουθι,ακολουθει,"nonstandard ι, standard ει",,,
ακολουθιτω,ακολουθειτω,"nonstandard ι, standard ει",,,
ακολουθουνταις,ακολουθουντες,"nonstandard αι, standard ε",,,
ακουεται,ακουετε,"nonstandard αι, standard ε",,,
ακουι,ακουει,"standard ει, nonstandard ι",,,
ακουιν,ακουειν,"standard ει, nonstandard ι",,,
ακουις,ακουεις,"nonstandard ι, standard ει",,,
ακουονταις,ακουοντες,"nonstandard αι, standard ε",,,
ακουουσιν,ακουουσι,movable ν,,,
ακουσανταις,ακουσαντες,"nonstandard αι, standard ε",,,
ακουσαται,ακουσατε,"nonstandard αι, standard ε",,,
ακουσεσθαι,ακουσεσθε,"nonstandard αι, standard ε",,,
ακουσεται,ακουσετε,"nonstandard αι, standard ε",,,
ακουσηται,ακουσητε,"nonstandard αι, standard ε",,,
ακουσθισιν,ακουσθεισιν,"standard ει, nonstandard ι",,,
ακουσι,ακουσει,"nonstandard ι, standard ει",,,
ακουσιτε,ακουσητε,η and ι,,,
ακουσουσιν,ακουσουσι,movable ν,,,
ακουσωμεθα,ακουσομεθα,ο and ω,,,
ακουσωνται,ακουσονται,ο and ω,,,
ακουσωσιν,ακουσωσι,movable ν,,,
ακουωμεν,ακουομεν,ο and ω,,,
ακουωντα,ακουοντα,ο and ω,,,
ακουωντας,ακουοντας,ο and ω,,,
ακουωντες,ακουοντες,ο and ω,,,
ακουωντι,ακουοντι,ο and ω,,,
ακουωντος,ακουοντος,ο and ω,,,
ακρειβεστατην,ακριβεστατην,"nonstandard ει, standard ι",,,
ακρειβεστερον,ακριβεστερον,"nonstandard ει, standard ι",,,
ακρειβως,ακριβως,"nonstandard ει, standard ι",,,
ακριβιαν,ακριβειαν,"standard ει, nonstandard ι",,,
ακροβυστεια,ακροβυστια,"nonstandard ει, standard ι",,,
ακροβυστειαν,ακροβυστιαν,"nonstandard ει, standard ι",,,
ακροβυστειας,ακροβυστιας,"nonstandard ει, standard ι",,,
ακροθινειων,ακροθινιων,"nonstandard ει, standard ι",,,
ακρωατηριον,ακροατηριον,ο and ω,,,
ακυλλαν,ακυλαν,λ gemination,,,
ακυλλας,ακυλας,λ gemination,,,
ακυρουνταις,ακυρουντες,"nonstandard αι, standard ε",,,
ακωη,ακοη,ο and ω,,,
ακωλουθει,ακολουθει,ο and ω,,,
ακωλουθησαντες,ακολουθησαντες,ο and ω,,,
ακωλουθουντες,ακολουθουντες,ο and ω,,,
ακωλουθουσιν,ακολουθουσιν,ο and ω,,,
αλαζονια,αλαζονεια,"nonstandard ι, standard ει",,,
αλαζονιαις,αλαζονειαις,"standard ει, nonstandard ι",,,
αλαλαζων,αλαλαζον,ο and ω,,,
αλαλαζωντας,αλαλαζοντας,ο and ω,,,
αλαλων,αλαλον,ο and ω,,,
αλειεις,αλιεις,"standard ι, nonstandard ει",,,
αλεκτορωφωνιας,αλεκτοροφωνιας,ο and ω,,,
αλεκτωρα,αλεκτορα,ο and ω,,,
αλεκτωροφωνιας,αλεκτοροφωνιας,ο and ω,,,
αλεξανδραιων,αλεξανδρεων,"nonstandard αι, standard ε",,,
αλεξανδρεινον,αλεξανδρινον,"nonstandard ει, standard ι",,,
αλεξανδρεινω,αλεξανδρινω,"nonstandard ει, standard ι",,,
αληθειναι,αληθιναι,"nonstandard ει, standard ι",,,
αληθεινη,αληθινη,"nonstandard ει, standard ι",,,
αληθεινης,αληθινης,"nonstandard ει, standard ι",,,
αληθεινοι,αληθινοι,"nonstandard ει, standard ι",,,
αληθεινον,αληθινον,"nonstandard ει, standard ι",,,
αληθεινος,αληθινος,"nonstandard ει, standard ι",,,
αληθεινω,αληθινω,"nonstandard ει, standard ι",,,
αληθεινων,αληθινων,"nonstandard ει, standard ι",,,
αληθια,αληθεια,"nonstandard ι, standard ει",,,
αληθιαν,αληθειαν,"nonstandard ι, standard ει",,,
αληθιας,αληθειας,"nonstandard ι, standard ει",,,
αλιθειας,αληθειας,η and ι,,,
αλιθης,αληθης,η and ι,,,
αλιθιναι,αληθιναι,η and ι,,,
αλιθινος,αληθινος,η and ι,,,
αλιθουσαι,αληθουσαι,η and ι,,,
αλιθως,αληθως,η and ι,,,
αλιψαι,αλειψαι,"standard ει, nonstandard ι",,,
αλιψαντες,αλειψαντες,"nonstandard ι, standard ει",,,
αλιψασα,αλειψασα,"nonstandard ι, standard ει",,,
αλιψωσιν,αλειψωσιν,"standard ει, nonstandard ι",,,
αλλα,αλλ,byzantine convention,,,
αλλαξι,αλλαξει,"nonstandard ι, standard ει",,,
αλληλλους,αλληλους,λ gemination,,,
αλλιλοις,αλληλοις,η and ι,,,
αλλιλουια,αλληλουια,η and ι,,,
αλλιλους,αλληλους,η and ι,,,
αλλιλων,αλληλων,η and ι,,,
αλλιν,αλλην,η and ι,,,
αλλοτρειων,αλλοτριων,"nonstandard ει, standard ι",,,
αλλοφυλλω,αλλοφυλω,λ gemination,,,
αλλω,αλλο,ο and ω,,,
αλλωμενος,αλλομενος,ο and ω,,,
αλλων,αλλον,ο and ω,,,
αλλωτριω,αλλοτριω,ο and ω,,,
αλλωφυλω,αλλοφυλω,ο and ω,,,
αλυσις,αλυσεις,"nonstandard ι, standard ει",,,
αλωπεκει,αλωπεκι,"standard ι, nonstandard ει",,,
αμαρτανεται,αμαρτανετε,"nonstandard αι, standard ε",,,
αμαρτανι,αμαρτανει,"nonstandard ι, standard ει",,,
αμαρτανιν,αμαρτανειν,"nonstandard ι, standard ει",,,
αμαρτειαν,αμαρτιαν,"standard ι, nonstandard ει",,,
αμαρτειας,αμαρτιας,"nonstandard ει, standard ι",,,
αμαρτησι,αμαρτησει,"nonstandard ι, standard ει",,,
αμαρτησωμεν,αμαρτησομεν,ο and ω,,,
αμαρτιματα,αμαρτηματα,η and ι,,,
αμαρτισει,αμαρτησει,η and ι,,,
αμειναδαβ,αμιναδαβ,"nonstandard ει, standard ι",,,
αμελισαντες,αμελησαντες,η and ι,,,
αμετακεινητοι,αμετακινητοι,"nonstandard ει, standard ι",,,
αμιν,αμην,η and ι,,,
αμμων,αμμον,ο and ω,,,
αμπαιλωνα,αμπελωνα,"nonstandard αι, standard ε",,,
αμπελωνει,αμπελωνι,"nonstandard ει, standard ι",,,
αμφιβλιστρον,αμφιβληστρον,η and ι,,,
αμφωδου,αμφοδου,ο and ω,,,
αμφωτερα,αμφοτερα,ο and ω,,,
αμφωτεροι,αμφοτεροι,ο and ω,,,
αναβαινι,αναβαινει,"standard ει, nonstandard ι",,,
αναβαινιν,αναβαινειν,"standard ει, nonstandard ι",,,
αναβαινωμεν,αναβαινομεν,ο and ω,,,
αναβαινων,αναβαινον,ο and ω,,,
αναβαινωντα,αναβαινοντα,ο and ω,,,
αναβαινωντες,αναβαινοντες,ο and ω,,,
αναβηται,αναβητε,"nonstandard αι, standard ε",,,
αναβλεψις,αναβλεψης,η and ι,,,
αναβολιν,αναβολην,η and ι,,,
αναγαγιν,αναγαγειν,"nonstandard ι, standard ει",,,
αναγγελι,αναγγελει,"nonstandard ι, standard ει",,,
αναγγελλει,αναγγελει,λ gemination,,,
αναγγιλαι,αναγγειλαι,"standard ει, nonstandard ι",,,
αναγγιλον,αναγγειλον,"nonstandard ι, standard ει",,,
αναγεινωσκεις,αναγινωσκεις,"standard ι, nonstandard ει",,,
αναγεινωσκετε,αναγινωσκετε,"nonstandard ει, standard ι",,,
αναγεινωσκομενας,αναγινωσκομενας,"nonstandard ει, standard ι",,,
αναγεινωσκομενη,αναγινωσκομενη,"nonstandard ει, standard ι",,,
αναγεινωσκομενος,αναγινωσκομενος,"nonstandard ει, standard ι",,,
αναγεινωσκοντες,αναγινωσκοντες,"nonstandard ει, standard ι",,,
αναγεινωσκοντος,αναγινωσκοντος,"nonstandard ει, standard ι",,,
αναγεινωσκων,αναγινωσκων,"nonstandard ει, standard ι",,,
αναγινωσκις,αναγινωσκεις,"standard ει, nonstandard ι",,,
αναγινωσκωμενας,αναγινωσκομενας,ο and ω,,,
αναγινωσκωμενος,αναγινωσκομενος,ο and ω,,,
αναγκαιων,αναγκαιον,ο and ω,,,
αναγνωντες,αναγνοντες,ο and ω,,,
αναγωμενοις,αναγομενοις,ο and ω,,,
αναδιξεως,αναδειξεως,"nonstandard ι, standard ει",,,
αναδιξον,αναδειξον,"nonstandard ι, standard ει",,,
αναθαιματιζειν,αναθεματιζειν,"nonstandard αι, standard ε",,,
αναθεματειζειν,αναθεματιζειν,"standard ι, nonstandard ει",,,
αναιβη,ανεβη,"nonstandard αι, standard ε",,,
αναιγνωται,ανεγνωτε,"nonstandard αι, standard ε",,,
αναιδιαν,αναιδειαν,"standard ει, nonstandard ι",,,
αναιθεμην,ανεθεμην,"nonstandard αι, standard ε",,,
αναιλεημονας,ανελεημονας,"nonstandard αι, standard ε",,,
αναιλειν,ανελειν,"nonstandard αι, standard ε",,,
αναιλεος,ανελεος,"nonstandard αι, standard ε",,,
αναιλωσιν,ανελωσιν,"nonstandard αι, standard ε",,,
αναιρεσι,αναιρεσει,"standard ει, nonstandard ι",,,
αναισιν,ανεσιν,"nonstandard αι, standard ε",,,
αναιταζειν,ανεταζειν,"nonstandard αι, standard ε",,,
αναιτειοι,αναιτιοι,"nonstandard ει, standard ι",,,
ανακαμψι,ανακαμψει,"standard ει, nonstandard ι",,,
ανακιμενοις,ανακειμενοις,"standard ει, nonstandard ι",,,
ανακιμενον,ανακειμενον,"standard ει, nonstandard ι",,,
ανακιμενου,ανακειμενου,"nonstandard ι, standard ει",,,
ανακιμενους,ανακειμενους,"nonstandard ι, standard ει",,,
ανακιμενων,ανακειμενων,"nonstandard ι, standard ει",,,
ανακλειθηναι,ανακλιθηναι,"nonstandard ει, standard ι",,,
ανακλειθησονται,ανακλιθησονται,"nonstandard ει, standard ι",,,
ανακλειναι,ανακλιναι,"nonstandard ει, standard ι",,,
ανακρειναντες,ανακριναντες,"nonstandard ει, standard ι",,,
ανακρεινας,ανακρινας,"nonstandard ει, standard ι",,,
ανακρεινεται,ανακρινεται,"nonstandard ει, standard ι",,,
ανακρεινομεθα,ανακρινομεθα,"nonstandard ει, standard ι",,,
ανακρεινοντες,ανακρινοντες,"nonstandard ει, standard ι",,,
ανακρεινουσιν,ανακρινουσιν,"nonstandard ει, standard ι",,,
ανακρεινω,ανακρινω,"nonstandard ει, standard ι",,,
ανακρεινων,ανακρινων,"nonstandard ει, standard ι",,,
ανακρινωμεθα,ανακρινομεθα,ο and ω,,,
αναλαβωντες,αναλαβοντες,ο and ω,,,
αναλαμβανιν,αναλαμβανειν,"nonstandard ι, standard ει",,,
αναλιφθεις,αναληφθεις,η and ι,,,
αναλογισασθαι,αναλογισασθε,"nonstandard αι, standard ε",,,
αναλων,αναλον,ο and ω,,,
αναμενιν,αναμενειν,"nonstandard ι, standard ει",,,
αναμιμνησκεσθαι,αναμιμνησκεσθε,"nonstandard αι, standard ε",,,
αναμνησθις,αναμνησθεις,"nonstandard ι, standard ει",,,
αναμνισθεις,αναμνησθεις,η and ι,,,
αναν,ανναν,removal of double ν,,,
αναπαυεσθαι,αναπαυεσθε,"nonstandard αι, standard ε",,,
αναπειθειν,αναπειθει,movable ν,,,
αναπεσαι,αναπεσε,"nonstandard αι, standard ε",,,
αναπεσιν,αναπεσειν,"nonstandard ι, standard ει",,,
αναπιθει,αναπειθει,"standard ει, nonstandard ι",,,
αναπιρους,αναπηρους,η and ι,,,
αναπτι,αναπτει,"nonstandard ι, standard ει",,,
ανασιει,ανασειει,"standard ει, nonstandard ι",,,
ανασκευαζωντες,ανασκευαζοντες,ο and ω,,,
ανασπασι,ανασπασει,"standard ει, nonstandard ι",,,
αναστασαιως,αναστασεως,"nonstandard αι, standard ε",,,
αναστασι,αναστασει,"nonstandard ι, standard ει",,,
αναστηθει,αναστηθι,"nonstandard ει, standard ι",,,
αναστησι,αναστησει,"nonstandard ι, standard ει",,,
αναστησιν,αναστησειν,"nonstandard ι, standard ει",,,
αναστησωνται,αναστησονται,ο and ω,,,
αναστιθι,αναστηθι,η and ι,,,
αναστιναι,αναστηναι,η and ι,,,
αναστισας,αναστησας,η and ι,,,
αναστισει,αναστησει,η and ι,,,
αναστισεται,αναστησεται,η and ι,,,
αναστισονται,αναστησονται,η and ι,,,
αναστρεφωμενων,αναστρεφομενων,ο and ω,,,
αναστωσειν,αναστωσιν,"standard ι, nonstandard ει",,,
ανατεθραμενος,ανατεθραμμενος,removal of double μ,,,
ανατελλι,ανατελλει,"nonstandard ι, standard ει",,,
ανατιλαντος,ανατειλαντος,"nonstandard ι, standard ει",,,
ανατιλη,ανατειλη,"nonstandard ι, standard ει",,,
ανατωλων,ανατολων,ο and ω,,,
αναφανενταις,αναφανεντες,"nonstandard αι, standard ε",,,
αναφερι,αναφερει,"nonstandard ι, standard ει",,,
αναχωρειται,αναχωρειτε,"nonstandard αι, standard ε",,,
αναχωρισαντες,αναχωρησαντες,η and ι,,,
αναχωρισαντων,αναχωρησαντων,η and ι,,,
αναχωρισας,αναχωρησας,η and ι,,,
αναχωριτε,αναχωρειτε,"nonstandard ι, standard ει",,,
ανδραια,ανδρεα,"nonstandard αι, standard ε",,,
